DateTime,AddedIPs,RemovedIPs
1611641359,38,30
1611648528,30,29
1611655964,22,20
1611663161,22,26
1611670381,26,21
1611677563,22,0
1611684800,22,27
1611691249,23,24
1611691962,4,0
1611699165,34,36
1611706372,24,25
1611713560,30,29
1611721006,66,59
1611728211,38,59
1611735400,20,32
1611742598,17,11
1611749814,25,25
1611757000,10,24
1611757973,15,0
1611762293,9,16
1611764440,12,1
1611766601,0,10
1611769486,11,0
1611770946,7,0
1611771642,9,12
1611773082,1,0
1611780013,21,25
1611782891,0,10
1611786489,34,11
1611793688,21,33
1611800889,35,25
1611808093,47,48
1611815535,34,49
1611822732,22,46
1611829928,12,24
1611837138,27,1
1611844126,22,20
1611851564,32,23
1611858764,34,27
1611865973,37,27
1611873205,35,16
1611880382,27,38
1611887627,47,37
1611894791,52,61
1611902032,33,23
1611909653,14,19
1611916811,36,31
1611924254,20,18
1611931043,30,9
1611938407,33,32
1611945610,28,11
1611952828,24,37
1611960321,38,26
1611967524,34,29
1611974889,43,91
1611982177,49,0
1611989118,26,41
1611996323,25,29
1612003690,34,15
1612011126,29,18
1612017961,22,37
1612025547,32,12
1612032728,31,31
1612045926,1,57
1612049611,48,14
1612056492,25,32
1612063997,62,48
1612071245,35,61
1612078152,18,30
1612085598,28,30
1612092786,25,29
1612100021,32,22
1612107422,30,18
1612114136,22,53
1612121354,46,10
1612129244,33,72
1612135968,23,8
1612143887,27,60
1612151090,56,15
1612158308,36,87
1612165492,22,10
1612172712,30,27
1612179896,20,24
1612187094,26,18
1612194313,24,18
1612201248,32,40
1612208928,32,56
1612216126,25,30
1612223324,22,23
1612230766,37,43
1612237967,61,55
1612245162,31,37
1612249496,10,22
1612255245,16,23
1612255994,1,0
1612256696,1,0
1612259568,19,0
1612266787,31,13
1612271325,8,20
1612274204,1,0
1612275171,16,0
1612275883,1,19
1612280207,12,0
1612281652,17,0
1612283085,0,23
1612283804,1,0
1612284538,2,0
1612288124,22,0
1612296053,29,38
1612303252,24,20
1612310458,21,23
1612317894,32,37
1612324860,56,69
1612332293,35,33
1612339496,24,20
1612346691,24,19
1612353894,17,25
1612361158,27,19
