DateTime,AddedIPs,RemovedIPs
1612796449,174,126
1612803649,207,102
1612811563,155,131
1612818521,146,108
1612825428,130,161
1612832572,116,126
1612833181,94,85
1612835164,51,56
1612836522,102,94
1612837480,94,102
1612838204,133,125
1612839786,26,28
1612840614,28,26
1612842340,75,87
1612842999,78,68
1612843722,28,26
1612845162,142,142
1612845883,19,14
1612846600,14,19
1612848040,19,14
1612851646,14,19
1612852361,119,119
1612853086,44,37
1612860520,110,110
1612867967,138,91
1612874686,125,101
1612882601,126,116
1612889327,137,94
1612896858,129,121
1612903686,132,130
1612911403,118,152
1612918624,120,144
1612925800,144,156
1612932726,116,110
1612939926,106,113
1612947128,122,108
1612954333,139,462
1612961770,228,129
1612969249,147,130
1612976694,143,139
1612983896,176,115
1612990609,124,137
1612998294,130,178
1613005459,154,121
1613012890,134,153
1613020090,137,118
1613027288,106,77
1613034508,107,107
1613041692,154,84
1613048887,119,94
1613056360,145,120
1613063802,156,108
1613071001,135,126
1613078204,121,121
1613085426,119,132
1613092600,91,118
1613094044,44,28
1613094767,55,58
1613096203,58,55
1613096960,55,58
1613097644,58,55
1613098362,102,101
1613099805,101,102
1613100529,102,101
1613101244,67,88
1613103407,88,67
1613104131,67,88
1613104843,88,67
1613105565,67,88
1613107722,102,88
1613112284,102,100
1613116332,61,48
1613118014,48,61
1613118728,61,48
1613122330,110,564
1613123292,216,83
1613124085,62,117
1613124724,55,133
1613125447,133,55
1613126892,200,102
1613129081,75,118
1613129768,186,80
1613130528,46,109
1613132649,109,46
1613133370,37,122
1613135058,122,37
1613135790,104,86
1613136487,34,31
1613137214,50,60
1613138949,65,58
1613139643,34,31
1613141088,31,34
1613141802,58,65
1613142526,137,109
1613143969,63,50
1613144717,48,56
1613145406,56,48
1613146125,48,56
1613146842,56,48
1613147576,99,48
1613149007,48,99
1613149971,99,48
1613150683,48,99
1613151408,99,48
1613152125,120,106
1613152928,53,64
1613153562,64,53
1613155006,53,64
1613155724,64,53
1613156459,53,64
1613157212,64,53
1613157884,41,56
1613158608,105,68
1613159567,78,57
1613160296,45,69
1613161020,91,76
1613161724,76,91
1613162446,77,64
1613163163,39,28
1613166771,95,88
1613167497,15,27
1613168202,67,53
1613169643,65,67
1613171092,67,65
1613173241,87,105
1613175405,54,55
1613181164,120,131
1613188387,155,144
1613196288,104,113
1613203494,109,82
1613210932,112,106
1613217401,131,96
1613224602,126,108
1613231820,125,125
1613236125,37,37
1613236842,37,37
1613238999,146,122
1613239961,17,15
1613243563,15,17
1613244284,17,15
1613246448,120,115
1613253682,123,134
1613261091,108,143
1613268526,120,112
1613275725,149,146
1613282923,119,107
1613290127,116,91
1613297326,127,95
1613304525,113,98
1613311966,105,97
1613319165,139,101
1613326369,115,107
1613327811,57,76
1613328534,76,57
1613333563,106,115
1613340763,118,125
1613347964,114,116
1613355161,108,121
1613363083,125,146
1613370286,98,111
1613377482,107,92
1613384685,108,104
1613391972,125,112
1613399085,111,119
1613401961,27,30
1613402684,30,27
1613406282,108,89
1613413245,129,102
1613418284,31,38
1613419721,38,31
1613420438,101,108
1613427644,112,139
1613435083,116,127
1613442281,101,108
1613449721,136,138
1613456684,98,104
1613464103,108,86
1613471285,116,75
1613478522,105,88
1613479972,30,21
1613481445,21,30
1613482122,30,21
1613482847,21,30
1613485722,121,110
1613487892,36,35
1613488602,35,36
1613489328,36,35
1613490045,35,36
1613490767,36,35
1613492204,35,36
1613492962,113,117
1613493646,31,29
1613495096,29,31
1613497244,31,29
1613497965,29,31
1613498695,31,29
1613499410,29,31
1613500126,31,29
1613500844,110,116
1613501579,25,33
1613503016,33,25
1613503966,25,33
1613507052,122,125
1613507767,118,107
1613508488,115,119
1613510649,30,29
1613513565,29,30
1613515026,110,110
1613522444,95,127
1613523164,25,28
1613525107,28,25
1613529405,103,111
1613536865,108,133
1613544048,106,99
1613546924,32,31
1613549804,31,32
1613551411,100,72
1613553645,63,58
1613554393,58,63
1613558703,111,86
1613565170,52,46
1613565901,92,70
1613570209,54,56
1613571885,56,54
1613572607,110,96
1613578365,45,55
1613579082,55,45
1613579804,45,55
1613580520,106,66
1613582687,33,56
1613583403,56,33
1613584210,33,56
1613584851,56,33
1613585565,33,56
1613586281,56,33
1613587022,33,56
1613587721,76,106
1613590604,65,56
1613592786,56,65
1613594204,123,115
1613594924,94,93
1613595651,93,94
1613597803,52,47
1613598547,47,52
1613602123,104,109
1613609320,84,121
1613616523,126,135
1613623724,139,114
1613630686,99,87
1613638129,91,70
1613645049,98,76
1613652725,101,83
1613658488,110,90
1613659926,31,25
1613666682,104,109
1613667901,82,88
1613668599,88,82
1613669319,45,68
1613670040,68,45
1613671492,28,42
1613672938,121,118
1613674370,18,23
1613675092,46,27
1613676524,39,53
1613677962,18,23
1613679400,46,27
1613681080,117,132
1613681833,55,40
1613682522,40,55
1613683240,55,40
1613683962,40,55
1613686125,55,40
1613687083,109,111
1613687801,98,111
1613688555,123,133
1613689260,59,36
1613689962,36,59
1613693799,59,36
1613694520,88,148
1613695247,118,81
1613695967,85,134
1613696696,42,30
1613697408,30,42
1613698145,42,30
1613699452,30,42
1613700094,42,30
1613700771,30,42
1613702212,93,97
1613702930,53,40
1613704330,40,53
1613705048,53,40
1613706486,40,53
1613707926,53,40
1613708649,108,91
1613712969,34,45
1613713690,45,34
1613715848,90,114
1613717302,93,80
1613718018,80,93
1613719448,41,31
1613721626,31,41
1613722326,41,31
1613723065,82,73
1613724490,73,82
1613725224,115,88
1613725929,38,56
1613728868,56,38
1613729528,38,56
1613730250,56,38
1613730967,92,89
1613731700,89,92
1613732671,109,96
1613734326,41,51
1613735766,51,41
1613739392,125,94
1613740335,32,50
1613741048,50,32
1613741771,32,50
1613743308,50,32
1613743925,32,50
1613745612,116,109
1613746326,103,92
1613747074,92,103
1613749206,52,36
1613749933,36,52
1613751372,52,36
1613752854,92,86
1613753526,86,92
1613754253,92,86
1613756406,46,48
1613758600,48,46
1613759290,46,48
1613760728,112,98
1613762168,41,44
1613762891,44,41
