DateTime,Entries,UniqueIPs
1613118047,1302,1302
1613119424,1284,1284
1613121135,1272,1272
1613122915,1254,1254
1613124798,1257,1257
1613127047,1250,1250
1613128405,1247,1247
1613129684,1243,1243
1613132743,1234,1234
1613135207,1221,1221
1613136887,1220,1220
1613139941,1225,1225
1613141443,1217,1217
1613142905,1217,1217
1613145026,1192,1192
1613146699,1201,1201
1613147683,1218,1218
1613150159,1208,1208
1613151284,1208,1208
1613153008,1207,1207
1613154173,1211,1211
1613155483,1207,1207
1613157449,1211,1211
1613158483,1210,1210
1613160472,1210,1210
1613162901,1203,1203
1613164586,1194,1194
1613165688,1190,1190
1613168107,1191,1191
1613169296,1193,1193
1613171915,1212,1212
1613172875,1228,1228
1613175934,1243,1243
1613177442,1239,1239
1613179170,1255,1255
1613180089,1262,1262
1613183144,1270,1270
1613183689,1260,1260
1613184827,1261,1261
1613186450,1267,1267
1613187288,1261,1261
1613189429,1249,1249
1613190894,1244,1244
1613192755,1236,1236
1613193952,1238,1238
1613195444,1233,1233
1613196844,1237,1237
1613198076,1234,1234
1613200907,1257,1257
1613201682,1261,1261
1613204046,1278,1278
1613205287,1276,1276
1613206609,1286,1286
1613208156,1295,1295
1613209830,1303,1303
1613212489,1298,1298
1613213759,1297,1297
1613215457,1298,1298
1613216084,1283,1283
1613218070,1273,1273
1613219682,1277,1277
1613223280,1265,1265
1613224659,1276,1276
1613225855,1285,1285
1613226886,1282,1282
1613230486,1224,1224
1613234082,1195,1195
1613237143,1191,1191
1613237686,1186,1186
1613240097,1183,1183
1613241284,1166,1166
1613244345,1164,1164
1613245860,1162,1162
1613247691,1163,1163
1613248487,1159,1159
1613251553,1157,1157
1613252752,1150,1150
1613254110,1150,1150
1613255682,1148,1148
1613256830,1152,1152
1613258873,1156,1156
1613259284,1157,1157
1613261362,1159,1159
1613265772,1165,1165
1613267449,1165,1165
1613270093,1157,1157
1613272943,1158,1158
1613273690,1157,1157
1613276184,1149,1149
1613277283,1147,1147
1613279346,1146,1146
1613280669,1148,1148
1613281844,1149,1149
1613284480,1135,1135
1613288081,1151,1151
1613291686,1206,1206
1613293589,1220,1220
1613295284,1218,1218
1613297251,1222,1222
1613298405,1227,1227
1613299850,1247,1247
1613301618,1263,1263
1613302487,1264,1264
1613303602,1267,1267
1613305542,1265,1265
1613306080,1256,1256
1613308471,1251,1251
1613309699,1254,1254
1613311046,1259,1259
1613312318,1273,1273
1613313495,1280,1280
1613315179,1279,1279
1613316342,1283,1283
1613319192,1282,1282
1613320477,1283,1283
1613323043,1291,1291
1613324087,1303,1303
1613327144,1308,1308
1613328644,1315,1315
1613330433,1322,1322
1613331768,1312,1312
1613333387,1316,1316
1613334887,1323,1323
1613337165,1326,1326
1613338483,1323,1323
1613342083,1292,1292
1613345149,1280,1280
1613346460,1275,1275
1613349285,1256,1256
1613352026,1246,1246
1613353720,1250,1250
1613355468,1258,1258
1613356488,1251,1251
1613358419,1237,1237
1613360088,1220,1220
1613363034,1232,1232
1613366533,1238,1238
1613367281,1233,1233
1613369706,1238,1238
1613371842,1232,1232
1613373944,1228,1228
1613375076,1228,1228
1613376600,1231,1231
1613378089,1224,1224
1613380055,1227,1227
1613381683,1221,1221
1613383758,1232,1232
1613386245,1236,1236
1613387963,1232,1232
1613389184,1230,1230
1613390619,1232,1232
1613392957,1220,1220
1613395201,1208,1208
1613396564,1198,1198
1613397958,1199,1199
1613400159,1201,1201
1613402425,1210,1210
1613403278,1205,1205
1613404592,1212,1212
1613405891,1211,1211
1613407210,1202,1202
1613409767,1218,1218
1613410480,1220,1220
1613411823,1222,1222
1613415046,1223,1223
1613417142,1223,1223
1613419058,1216,1216
1613420338,1213,1213
1613422241,1209,1209
1613424889,1203,1203
1613426265,1213,1213
1613429446,1217,1217
1613432090,1205,1205
1613434648,1206,1206
1613436110,1204,1204
1613438648,1224,1224
1613441019,1240,1240
1613443254,1252,1252
1613444929,1265,1265
1613448345,1271,1271
1613450467,1276,1276
1613453148,1293,1293
1613453689,1290,1290
1613455607,1296,1296
1613458234,1307,1307
1613460886,1268,1268
1613462902,1280,1280
1613464482,1276,1276
1613465783,1289,1289
1613467546,1305,1305
1613468074,1304,1304
1613469828,1313,1313
1613471683,1312,1312
1613472830,1330,1330
1613474136,1337,1337
1613475288,1351,1351
1613477378,1381,1381
1613478883,1397,1397
1613481947,1410,1410
1613483444,1392,1392
1613484639,1392,1392
1613487041,1400,1400
1613489143,1420,1420
1613489682,1414,1414
1613490946,1420,1420
1613492253,1424,1424
1613496107,1455,1455
1613497378,1448,1448
1613499102,1458,1458
1613500485,1458,1458
