DateTime,AddedIPs,RemovedIPs
1612859672,1,2
1612860899,1,1
1612862377,2,0
1612863271,1,0
1612864520,1,0
1612865892,1,2
1612866873,0,1
1612868392,1,2
1612870476,1,2
1612872151,0,4
1612874077,0,1
1612875989,0,1
1612880485,2,1
1612883217,1,1
1612884894,0,2
1612887146,3,0
1612888482,0,1
1612889640,2,0
1612890808,0,1
1612893182,1,1
1612894436,0,1
1612895677,1,0
1612899276,1,1
1612902866,1,1
1612905047,1,1
1612906480,0,1
1612907927,0,1
1612910077,0,1
1612913677,2,3
1612917279,2,3
1612918538,1,1
1612920336,3,1
1612920876,0,2
1612922345,0,1
1612924481,0,2
1612931139,6,2
1612931678,1,1
1612934001,2,1
1612935732,0,7
1612938336,0,3
1612939672,1,5
1612941505,2,1
1612942470,0,2
1612945537,4,2
1612946981,3,4
1612949674,0,1
1612952451,4,0
1612953286,1,0
1612956873,0,3
1612958913,3,0
1612960477,2,0
1612964792,0,1
1612966174,1,1
1612967680,2,0
1612970290,1,0
1612971276,1,0
1612973781,2,1
1612974873,0,1
1612977423,1,2
1612978479,1,1
1612981355,1,2
1612982754,1,2
1612985136,1,0
1612986634,1,0
1612988241,0,2
1612990238,1,1
1612991641,1,1
1612992876,0,2
1612994201,0,1
1612995943,3,1
1612997434,0,1
1613000077,1,2
1613004274,1,5
1613007284,2,4
1613010338,1,0
1613010879,2,1
1613012118,2,1
1613015430,0,3
1613018083,5,1
1613019365,3,0
1613021682,0,2
1613025265,4,2
1613026614,1,0
1613027794,0,1
1613032475,0,4
1613035535,0,2
1613039679,1,1
1613041192,0,1
1613042293,1,0
1613043436,0,1
1613046119,1,0
1613047249,2,15
1613054078,0,3
1613055543,0,1
1613058643,0,1
1613059846,1,0
1613061336,0,2
1613063042,0,1
1613064334,1,0
1613067937,2,1
1613068476,0,1
1613070300,0,1
1613072071,2,1
1613075137,1,0
1613075674,0,1
1613077583,1,0
1613080793,1,1
1613082874,1,0
1613084842,1,1
1613086485,0,2
1613089296,0,1
1613090083,1,3
1613092137,16,0
1613093680,1,0
1613097277,2,2
1613099391,1,4
1613103941,2,2
1613106200,0,1
1613108083,0,2
1613110749,0,2
1613112238,0,2
1613113853,1,1
1613115276,2,1
1613118039,0,2
1613121128,0,1
1613122908,0,2
1613124785,1,1
1613127036,2,2
1613128396,3,0
1613132736,0,1
1613135200,1,1
1613136880,1,2
1613139934,4,1
1613142896,1,1
1613145017,1,1
1613146688,0,1
1613147676,0,1
1613151277,0,2
1613152997,0,1
1613155476,0,1
1613157443,1,2
1613160464,0,1
1613164564,2,0
1613165681,0,1
1613168098,0,1
1613171906,0,1
1613177435,1,2
1613179161,1,1
1613180081,1,4
1613183137,4,3
1613184819,2,0
1613186442,1,0
1613187281,0,4
1613189412,0,3
1613190886,1,1
1613192747,2,1
1613193945,2,0
1613195437,0,3
1613198069,1,4
1613200900,2,1
1613204038,2,1
1613206602,2,0
1613209822,0,2
1613212482,1,1
1613213753,2,0
1613215443,1,0
1613218063,0,2
1613219674,0,2
1613223273,3,0
1613224652,1,1
1613225849,1,0
1613226878,1,0
1613230479,3,1
1613234075,3,1
1613235577,1,0
1613237679,0,1
1613240090,0,1
1613241277,0,1
1613244338,2,1
1613245853,0,1
1613248480,0,1
1613251544,2,0
1613252732,0,2
1613256823,2,0
1613258866,1,1
1613259277,0,1
1613265764,1,2
1613267441,0,1
1613270084,2,1
1613272930,0,2
1613277275,0,1
1613279337,2,0
1613284473,2,2
1613288073,1,1
1613291679,2,1
1613297236,0,1
1613301604,1,1
1613302480,0,1
1613308464,0,2
1613309686,0,3
1613312312,0,1
1613313486,1,0
1613315171,3,1
1613316335,1,0
1613319178,2,1
1613323033,1,0
1613327137,4,14
1613328638,0,2
1613334880,1,3
1613337157,3,1
1613342076,1,1
1613345142,1,1
1613349278,2,0
1613352014,2,3
1613353712,0,4
1613358410,1,0
1613360081,1,2
1613363023,1,1
1613366524,3,4
1613369698,0,1
1613371835,2,1
1613373937,2,1
1613376587,1,2
1613379895,1,1
1613381676,1,1
1613383743,0,1
1613386239,6,1
1613387952,1,0
1613389178,1,2
1613390612,1,0
1613392950,2,2
1613396508,1,3
1613400152,2,1
1613402418,0,3
1613405884,0,2
1613409760,1,0
1613411816,2,0
1613415040,1,2
1613419045,4,0
1613420331,12,0
1613422234,1,2
1613424881,3,0
1613429438,2,1
1613432082,0,2
1613434639,2,0
1613436102,1,1
1613438639,5,0
1613443244,1,2
1613444855,2,0
1613448337,5,2
1613450297,0,1
1613453680,0,2
1613455600,0,2
1613460879,17,3
1613462891,2,0
1613464475,3,0
1613467539,1,0
1613472817,1,0
1613475281,2,0
1613477372,1,0
1613483439,0,1
1613487034,1,1
1613489136,0,1
1613489675,0,1
1613490939,2,0
1613492245,0,1
1613496100,1,1
1613499095,4,0
1613502259,1,0
1613503379,1,0
1613505035,0,1
1613507677,2,0
1613510100,0,1
1613511807,1,1
1613513489,2,1
1613517940,1,0
1613520821,0,2
1613525675,1,0
1613528073,3,0
1613532883,4,2
1613535360,0,1
1613536481,0,2
1613539540,1,0
1613540947,0,3
1613542652,1,1
1613545065,2,0
1613546499,1,1
1613547274,1,1
1613549259,0,2
1613550878,1,0
1613552349,2,0
1613553936,2,0
1613554479,0,2
1613555695,0,2
1613558074,3,5
1613561677,0,2
1613563368,1,0
1613565274,2,1
1613567163,1,2
1613569843,1,0
1613570968,0,1
1613576075,0,1
1613579096,2,0
1613583279,2,1
1613584669,1,0
1613586085,2,1
1613586872,1,1
1613589936,3,2
1613594071,0,1
1613595271,0,1
1613596421,0,2
1613597689,0,1
1613601360,3,0
1613602772,1,0
1613604881,0,2
1613606981,1,3
1613608478,1,3
1613611543,3,1
1613615139,0,2
1613617847,4,4
1613619287,0,1
1613622883,2,0
1613627438,1,13
1613629542,1,2
1613630076,1,1
1613631774,1,0
1613633677,1,0
1613635814,1,2
1613637275,1,1
1613639468,3,0
1613640828,0,4
1613643634,0,2
1613645439,0,1
1613648078,2,0
1613650346,1,1
1613651680,2,0
1613655277,1,0
1613658878,2,3
1613661433,0,2
1613662479,2,0
1613665536,3,3
1613668977,0,3
1613670312,1,0
1613672737,1,0
1613675490,1,0
1613676874,0,2
1613678019,1,0
1613680477,0,1
1613682512,1,1
1613684079,0,2
1613688563,0,1
1613691278,3,0
1613692756,0,1
1613694340,3,0
1613697942,4,0
1613698481,1,2
1613699869,3,0
1613702078,3,4
1613703296,1,0
1613705146,1,0
1613706316,2,0
1613708742,1,0
1613710243,1,1
1613711660,0,1
1613712863,2,0
1613714381,2,1
1613715516,1,1
1613717778,1,0
1613719535,3,0
1613721122,0,3
1613723676,3,2
1613725992,0,1
1613727276,1,1
1613730337,3,2
1613731541,2,1
1613732913,1,0
1613734481,1,1
1613736270,1,1
1613738065,0,1
1613740073,3,0
1613742288,1,0
1613744055,1,0
1613745275,1,0
1613746644,2,0
1613748336,0,2
1613748877,0,1
1613752479,1,1
1613754176,1,1
1613756079,0,1
1613757809,1,3
1613759676,0,1
1613762737,0,1
1613764565,1,1
1613766873,1,0
1613768700,1,0
1613770485,1,2
1613774074,3,1
1613777681,1,2
1613780739,3,2
1613782240,1,3
1613786396,3,1
1613788478,2,1
