DateTime,Entries,UniqueIPs
1613090080,1015,1015
1613092135,1025,1025
1613093678,1034,1034
1613097276,1054,1054
1613099389,1061,1061
1613100879,1062,1062
1613103939,1069,1069
1613106198,1063,1063
1613108081,1069,1069
1613110744,1071,1071
1613112237,1065,1065
1613113852,1065,1065
1613115275,1076,1076
1613118038,1079,1079
1613119416,1064,1064
1613121127,1057,1057
1613122907,1041,1041
1613124783,1050,1050
1613127035,1048,1048
1613128392,1045,1045
1613129676,1044,1044
1613132734,1057,1057
1613135198,1053,1053
1613136879,1058,1058
1613139932,1052,1052
1613141435,1053,1053
1613142895,1054,1054
1613145014,1051,1051
1613146684,1056,1056
1613147675,1051,1051
1613150148,1060,1060
1613151276,1028,1028
1613152992,1038,1038
1613154164,1048,1048
1613155474,1038,1038
1613157442,1041,1041
1613158475,1041,1041
1613160463,1054,1054
1613162879,1047,1047
1613164561,1053,1053
1613165679,1052,1052
1613168097,1054,1054
1613169287,1047,1047
1613171902,1056,1056
1613172866,1054,1054
1613177433,1051,1051
1613179157,1051,1051
1613180080,1041,1041
1613183135,1055,1055
1613183681,1052,1052
1613184817,1060,1060
1613186440,1059,1059
1613187280,1053,1053
1613189407,1051,1051
1613190884,1048,1048
1613192745,1057,1057
1613193943,1063,1063
1613195436,1061,1061
1613200899,1068,1068
1613201673,1056,1056
1613204036,1066,1066
1613205279,1057,1057
1613206600,1066,1066
1613208147,1058,1058
1613209821,1044,1044
1613212481,1035,1035
1613213751,1039,1039
1613215441,1044,1044
1613216075,1040,1040
1613218061,1040,1040
1613219673,1041,1041
1613223271,1035,1035
1613224651,1036,1036
1613225847,1035,1035
1613226877,1041,1041
1613230477,1043,1043
1613234074,1052,1052
1613235575,1046,1046
1613237135,1048,1048
1613237677,1044,1044
1613240088,1048,1048
1613241276,1046,1046
1613244337,1038,1038
1613245852,1038,1038
1613247683,1038,1038
1613248478,1034,1034
1613251542,1035,1035
1613252730,1038,1038
1613254102,1044,1044
1613255673,1037,1037
1613256821,1040,1040
1613258865,1045,1045
1613259276,1045,1045
1613261350,1048,1048
1613265763,1042,1042
1613267439,1034,1034
1613270082,1025,1025
1613272926,1031,1031
1613273680,1025,1025
1613277274,1027,1027
1613279336,1033,1033
1613280639,1028,1028
1613281836,1032,1032
1613284472,1028,1028
1613288072,1029,1029
1613291678,1028,1028
1613293580,1024,1024
1613295275,1025,1025
1613297232,1024,1024
1613298396,1025,1025
1613299842,1023,1023
1613301602,1022,1022
1613302478,1013,1013
1613303589,1013,1013
1613305534,1015,1015
1613306071,1008,1008
1613308462,1007,1007
1613309684,1005,1005
1613311034,1010,1010
1613312311,1005,1005
1613313484,1000,1000
1613315170,1000,1000
1613316333,1004,1004
1613319176,1005,1005
1613320468,997,997
1613323029,1002,1002
1613324077,990,990
1613327135,976,976
1613328637,954,954
1613330413,951,951
1613331757,948,948
1613334879,945,945
1613337155,945,945
1613338474,946,946
1613342075,944,944
1613345140,955,955
1613346452,953,953
1613349276,953,953
1613352008,960,960
1613353710,946,946
1613355460,948,948
1613356479,943,943
1613358409,943,943
1613360079,945,945
1613363021,952,952
1613366523,951,951
1613367272,952,952
1613369697,954,954
1613371834,947,947
1613373936,951,951
1613375066,948,948
1613376585,955,955
1613378078,960,960
1613379894,961,961
1613381675,971,971
1613383741,975,975
1613386237,976,976
1613387951,976,976
1613389176,967,967
1613390611,968,968
1613392949,979,979
1613395179,987,987
1613396498,976,976
1613400151,975,975
1613402416,987,987
1613403270,986,986
1613404582,990,990
1613405878,996,996
1613407201,992,992
1613409759,1009,1009
1613410471,1004,1004
1613411814,1007,1007
1613415038,1009,1009
1613417133,1006,1006
1613419043,1021,1021
1613420329,1078,1078
1613422232,1077,1077
1613424879,1085,1085
1613429437,1099,1099
1613432080,1098,1098
1613434636,1113,1113
1613436101,1111,1111
1613438638,1111,1111
1613443241,1106,1106
1613444853,1106,1106
1613448334,1115,1115
1613450270,1123,1123
1613453139,1127,1127
1613453679,1125,1125
1613455599,1135,1135
1613460877,1142,1142
1613462885,1138,1138
1613464473,1143,1143
1613465764,1148,1148
1613467537,1157,1157
1613469810,1162,1162
1613471675,1166,1166
