DateTime,AddedIPs,RemovedIPs
1613136867,78,26
1613139920,46,44
1613141422,35,48
1613142883,11,17
1613145001,51,46
1613146673,68,26
1613147664,5,40
1613150137,48,27
1613151263,44,33
1613152981,39,22
1613154152,30,0
1613155460,29,38
1613157429,41,19
1613158463,24,30
1613160452,83,30
1613162858,44,37
1613164548,57,15
1613165666,23,28
1613168085,37,37
1613169271,12,22
1613171888,58,18
1613172850,0,3074
1613174398,3074,0
1613175925,0,3074
1613177422,3144,0
1613179142,19,17
1613180068,12,21
1613183124,57,13
1613183670,14,23
1613184806,25,8
1613186428,23,15
1613187267,10,17
1613189393,29,18
1613190868,18,18
1613192733,27,15
1613193931,14,0
1613195424,18,21
1613196827,35,17
1613198063,29,27
1613200887,32,24
1613201662,12,25
1613204026,52,20
1613205267,14,19
1613206589,26,4
1613208131,35,13
1613209808,33,33
1613212469,48,43
1613213740,30,7
1613215431,56,12
1613216064,7,18
1613218051,35,36
1613219662,39,19
1613223261,53,56
1613224639,18,9
1613225833,18,23
1613226866,15,17
1613230464,69,54
1613234063,43,41
1613235556,23,16
1613237124,25,1
1613237664,14,17
1613240076,30,24
1613241265,16,22
1613244323,33,38
1613245841,15,29
1613247669,38,17
1613248465,9,16
1613251529,51,26
1613252706,15,23
1613254088,13,16
1613255662,15,21
1613256809,9,9
1613258854,31,12
1613259263,6,15
1613261337,33,24
1613265751,43,38
1613267427,20,32
1613270071,24,35
1613272915,44,23
1613273667,9,23
1613276152,35,14
1613277263,16,16
1613279325,18,19
1613280623,14,17
1613281823,12,4
1613284462,36,34
1613288060,55,46
1613291666,59,28
1613293567,29,22
1613295265,32,34
1613297211,34,23
1613298315,0,3528
1613299829,3545,0
1613301590,34,22
1613302466,14,30
1613303577,14,10
1613305522,29,27
1613306060,8,57
1613308446,26,42
1613309671,13,19
1613311020,18,9
1613312298,15,23
1613313462,20,17
1613315157,33,64
1613316320,21,0
1613319150,39,73
1613320456,0,3436
1613323017,3394,0
1613324065,25,41
1613327125,35,58
1613328624,19,232
1613330388,14,43
1613331746,23,44
1613333371,0,3092
1613334865,3050,0
1613337142,20,29
1613338462,19,21
1613342060,40,65
1613345128,43,27
1613346438,22,84
1613349261,34,40
1613351994,34,26
1613353695,16,59
1613355446,17,19
1613356468,16,29
1613358397,17,33
1613360065,19,23
1613363010,41,22
1613366510,39,45
1613367261,11,49
1613369686,24,24
1613371822,23,34
1613373925,28,34
1613375055,15,37
1613376568,19,24
1613378066,17,40
1613379882,17,47
1613381663,25,24
1613383730,15,42
1613386222,15,53
1613387931,13,24
1613389166,9,39
1613390591,10,28
1613392937,28,21
1613395158,16,32
1613396473,3,31
1613397939,9,21
1613400139,20,51
1613402402,19,10
1613403259,4,23
1613404572,8,0
1613407175,0,2565
1613409748,2538,0
1613410460,5,20
1613411803,7,9
1613415027,28,35
1613417122,11,31
1613419023,26,36
1613420319,164,25
1613422222,16,25
1613424866,30,30
1613426241,0,2614
1613429426,2598,0
1613432066,21,48
1613436082,0,2571
1613438627,2560,0
1613440989,19,48
1613443152,10,29
1613444267,10,0
1613445922,0,2522
1613448319,2484,0
1613449980,11,16
1613451086,8,0
1613453127,13,21
1613453665,8,19
1613455588,19,27
1613458222,13,76
1613460864,25,57
1613462872,16,26
1613464462,14,30
1613465752,10,0
1613467524,16,31
1613468061,12,38
1613469799,18,34
1613471663,22,33
1613472800,15,10
1613474092,15,20
1613475267,10,31
1613477357,22,34
1613478862,13,18
