DateTime,AddedIPs,RemovedIPs
1613103920,83,60
1613106181,56,105
1613108065,52,66
1613112225,122,186
1613113839,35,40
1613115260,83,46
1613116476,39,16
1613118025,37,64
1613119403,58,74
1613121110,41,56
1613122895,46,92
1613124763,45,75
1613127018,69,70
1613128377,51,70
1613129659,42,54
1613132718,66,74
1613135186,72,80
1613136864,44,55
1613139916,97,58
1613141418,28,60
1613142882,38,32
1613145000,64,80
1613146671,38,34
1613147660,36,49
1613150135,56,49
1613151259,33,30
1613152978,55,46
1613154150,37,0
1613155457,37,76
1613157426,60,42
1613158459,21,53
1613160450,66,99
1613162855,89,66
1613164546,41,29
1613165660,26,41
1613168083,74,91
1613169269,46,53
1613171886,72,61
1613174395,72,90
1613175923,45,8
1613177419,42,55
1613179139,57,40
1613180064,22,53
1613183120,79,52
1613183666,16,49
1613184805,18,22
1613186426,48,37
1613187265,31,44
1613189391,69,69
1613190863,47,63
1613192732,46,58
1613193925,33,0
1613195421,29,75
1613196826,49,44
1613198060,43,98
1613200884,89,63
1613201660,26,44
1613204024,86,60
1613205262,37,67
1613206587,39,28
1613208129,45,53
1613209806,61,73
1613212467,96,120
1613213738,36,20
1613215429,60,38
1613216061,14,38
1613218049,50,77
1613219659,58,46
1613223259,90,110
1613224636,37,15
1613225830,23,73
1613226863,33,228
1613230460,108,117
1613234060,72,116
1613235554,38,46
1613237120,34,8
1613237660,14,50
1613240075,48,61
1613241262,31,55
1613244319,64,69
1613245834,42,58
1613247666,49,23
1613248461,19,47
1613251525,76,69
1613252703,28,124
1613254084,35,38
1613255659,55,38
1613256808,32,14
1613258852,54,28
1613259261,9,39
1613261335,53,36
1613265749,97,88
1613267424,32,49
1613270064,59,78
1613272913,48,44
1613273662,24,50
1613276149,55,53
1613277261,23,51
1613279323,54,57
1613280612,27,53
1613281819,19,21
1613284459,48,124
1613288058,72,87
1613291661,131,101
1613293565,48,55
1613295260,41,42
1613297208,57,61
1613299826,71,63
1613301589,67,20
1613302461,16,46
1613303576,21,20
1613305519,38,31
1613306059,9,45
1613308443,52,49
1613309667,18,59
1613311019,21,14
1613312293,22,25
1613313460,19,61
1613315156,111,46
1613316317,199,7
1613319148,309,102
1613323015,194,83
1613324060,19,49
1613327119,219,50
1613328620,119,48
1613330384,165,42
1613331744,100,68
