DateTime,AddedIPs,RemovedIPs
1612881278,1,0
1612883220,0,1
1612884896,1,1
1612887150,2,1
1612888485,1,2
1612889642,1,1
1612890810,0,1
1612893184,1,0
1612894439,0,1
1612897615,1,1
1612899279,0,1
1612902869,1,0
1612905050,2,3
1612906482,2,1
1612907937,0,3
1612909547,2,0
1612910079,0,2
1612913681,3,4
1612917282,1,3
1612920338,1,1
1612922360,1,0
1612923943,2,0
1612924483,0,2
1612928079,5,4
1612931682,2,2
1612934003,1,0
1612935740,5,1
1612938338,2,0
1612939674,1,4
1612941510,2,0
1612942473,1,0
1612945539,2,0
1612946983,1,1
1612949676,11,2
1612952454,3,1
1612955017,0,3
1612956336,1,0
1612956876,1,0
1612958917,1,1
1612960480,0,15
1612963539,0,3
1612964798,1,0
1612966176,0,1
1612967683,3,1
1612970294,2,0
1612971278,0,1
1612973797,0,2
1612974875,0,1
1612977428,2,0
1612981358,1,0
1612985139,0,4
1612986637,1,1
1612988246,1,1
1612990241,0,1
1612991643,1,2
1612992879,0,1
1612995946,1,1
1612997436,0,1
1613000080,1,1
1613001211,1,1
1613007287,0,3
1613008774,1,0
1613012120,0,1
1613013945,2,0
1613015433,1,1
1613018086,2,0
1613021145,2,2
1613021685,0,1
1613025267,4,3
1613026616,0,1
1613027796,1,2
1613028876,1,1
1613032477,1,1
1613033857,1,0
1613035537,2,1
1613039682,1,0
1613041196,0,3
1613042299,1,0
1613043439,1,0
1613046122,3,1
1613047253,1,11
1613048525,0,6
1613050468,1,0
1613054080,1,2
1613055556,0,1
1613058648,7,1
1613059849,11,0
1613061344,1,0
1613063048,1,0
1613064337,2,0
1613064877,0,2
1613067939,1,1
1613070317,1,0
1613072074,1,0
1613073207,1,0
1613075140,1,2
1613077586,0,4
1613079285,1,3
1613081078,0,2
1613082877,1,2
1613084845,0,4
1613089298,1,0
1613092139,9,2
1613097280,2,3
1613100883,1,0
1613103943,1,3
1613106203,1,0
1613110757,1,0
1613112241,0,1
1613113856,0,1
1613115279,1,0
1613118042,2,4
1613119419,0,3
1613121130,1,0
1613122911,1,0
1613124792,0,1
1613127038,1,0
1613128400,1,2
1613129679,2,2
1613132738,1,0
1613135202,1,1
1613136883,0,2
1613139936,1,1
1613141439,1,1
1613142899,2,1
1613145022,0,2
1613146695,1,2
1613147679,0,3
1613150152,1,2
1613151280,0,1
1613153003,3,0
1613155478,1,0
1613157445,0,1
1613158479,1,0
1613160467,1,3
1613162892,2,1
1613164567,0,1
1613168102,0,2
1613169291,2,2
1613171910,2,2
1613172870,3,0
1613175928,1,1
1613179165,0,2
1613180084,0,1
1613183139,2,2
1613183685,0,1
1613186444,1,0
1613187283,1,0
1613189422,0,1
1613190889,0,3
1613192749,0,5
1613193947,1,0
1613196839,3,1
1613198071,3,3
1613200903,2,2
1613201677,0,1
1613204041,0,1
1613205282,1,0
1613208151,1,1
1613209825,0,1
1613212484,1,1
1613213755,1,0
1613218066,1,3
1613219677,0,1
1613223275,2,1
1613224655,2,0
1613226880,0,3
1613230481,3,12
1613234077,6,5
1613237138,2,2
1613237682,0,1
1613240093,1,2
1613241280,2,0
1613244341,0,3
1613245855,1,0
1613251548,4,2
1613252744,0,2
1613254105,1,2
1613255677,0,1
1613256826,1,0
1613258869,1,0
1613261358,1,0
1613265767,2,2
1613267444,0,1
1613270088,0,5
1613272938,1,2
1613273685,0,1
1613277278,0,2
1613280655,1,0
1613281839,1,0
1613284476,1,3
1613288075,1,1
1613291681,3,4
1613293584,1,0
1613295279,0,2
1613297242,6,2
1613299845,1,2
1613301613,1,2
1613302482,1,2
1613305538,2,0
1613306075,0,3
1613308467,1,1
1613312314,1,1
1613313490,0,1
1613315174,5,2
1613316337,5,0
1613319183,8,2
1613320472,1,1
1613323035,1,1
1613324082,0,2
1613327139,8,0
1613328640,4,10
1613330421,2,0
1613331764,2,2
1613333383,1,2
1613334883,2,1
1613337160,2,0
1613338479,3,1
1613342078,6,1
1613345144,1,0
1613349281,3,0
1613352020,5,2
1613353714,2,1
1613356484,0,1
1613358413,2,0
1613360083,1,1
1613363027,3,1
1613367276,2,0
1613369701,3,0
1613371838,2,2
1613375070,1,4
1613376592,0,1
1613378082,0,2
1613379899,3,1
1613381678,1,1
1613383754,2,1
1613386241,1,2
1613387959,3,1
1613389180,0,1
1613392952,0,1
1613395192,1,0
1613397953,1,0
1613400155,1,2
1613402421,4,0
1613403274,0,4
1613404588,1,0
1613405886,2,1
1613407206,1,0
1613409762,3,1
1613415042,2,1
1613419049,0,1
1613420334,8,2
1613422236,0,2
1613424883,0,2
1613426257,1,1
1613429441,1,3
1613432085,2,2
1613434643,1,2
1613436106,2,0
1613438642,1,1
1613441012,0,1
1613443248,4,1
1613444902,1,3
1613448340,2,2
1613450455,1,1
1613453143,4,0
1613453683,0,1
1613455603,0,1
1613460881,1,4
1613462897,1,1
1613465779,2,0
1613467541,0,1
1613468069,0,3
1613469821,2,6
1613471678,0,5
1613474129,1,1
1613475283,0,1
1613477374,1,3
1613478878,3,0
1613481942,3,3
1613484635,2,3
1613487037,0,3
1613489138,0,2
1613489678,0,1
1613496102,1,0
1613497370,1,0
1613499097,1,0
1613500480,1,0
1613502264,2,0
1613506362,0,1
1613507679,0,1
1613510103,1,0
1613511810,1,2
1613513491,0,1
1613514878,1,0
1613517942,0,1
1613520823,1,0
1613525678,1,1
1613528076,1,0
1613529279,1,0
1613532887,0,5
1613535377,1,0
1613536484,2,2
1613539543,0,2
1613540953,0,1
1613546502,0,1
1613549261,0,1
1613550881,0,3
1613552361,0,1
1613554481,0,1
1613555697,0,1
1613557251,0,1
1613560917,1,0
1613561680,0,1
1613563371,1,0
1613565277,0,2
1613570973,0,1
1613572479,1,2
1613576077,2,1
1613579098,3,3
1613580445,0,1
1613583282,1,0
1613586090,1,0
1613586875,1,0
1613589939,2,0
1613591441,0,2
1613594073,0,1
1613597692,1,1
1613598970,0,1
1613601363,1,1
1613604884,1,1
1613608481,0,2
1613611546,2,1
1613612082,1,0
1613615142,1,0
1613615674,1,3
1613619292,1,0
1613621830,1,1
1613622886,0,1
1613625939,2,2
1613627441,1,1
1613629544,1,1
1613630078,0,1
1613631783,0,2
1613633680,0,1
1613635818,2,0
1613637278,0,2
1613639476,0,1
1613640831,0,1
1613643637,1,0
1613645441,0,1
1613650351,2,3
1613651683,1,2
1613655280,2,2
1613658880,2,1
1613660252,1,0
1613662481,0,1
1613666081,0,1
1613667286,1,0
1613668981,0,1
1613670315,0,1
1613675493,1,1
1613676877,0,2
1613680480,0,1
1613682516,0,1
1613687149,0,2
1613688572,2,2
1613690708,1,0
1613691281,0,3
1613692766,0,1
1613697944,0,2
1613698484,0,1
1613702081,1,1
1613703303,1,0
1613705150,0,1
1613706318,1,1
1613710247,2,1
1613711664,0,2
1613712866,7,3
1613714391,2,0
1613715518,1,0
1613716480,2,0
1613717781,1,0
1613719538,2,1
1613721133,2,0
1613723679,0,3
1613725999,1,2
1613730340,3,1
1613731545,0,2
1613734484,0,2
1613736275,0,1
1613738068,3,1
1613742290,2,0
1613744057,0,2
1613745277,1,0
1613746647,0,1
1613748339,1,0
1613748880,0,2
1613751598,0,1
1613752481,1,0
1613756081,1,0
1613757811,1,0
1613759679,1,1
1613762740,1,1
1613764568,1,0
1613766350,1,0
1613766876,0,1
1613768722,0,2
1613770488,0,1
1613774077,1,3
1613777683,0,2
1613780741,1,1
1613782243,0,2
1613784340,5,2
1613786460,7,1
1613788480,1,0
1613789599,1,2
1613794187,1,2
1613795684,0,2
1613797635,2,0
1613802340,1,1
1613802880,0,1
1613804072,1,0
1613805513,0,1
1613806478,0,1
1613817274,3,3
1613818426,2,0
1613820879,0,1
1613828028,0,1
1613829418,0,6
1613831143,1,5
1613832644,1,2
1613833890,1,0
1613836744,1,3
1613838882,0,2
1613840208,0,1
1613845007,0,1
1613846078,0,1
1613853278,0,3
1613855631,1,0
1613856881,0,1
1613858772,1,1
1613860472,2,0
1613862885,5,0
1613864084,2,1
1613867143,1,1
1613867682,1,0
1613870128,6,1
1613871275,4,1
1613874344,4,0
1613875659,2,1
1613878481,0,1
1613881544,3,0
1613883045,0,2
1613884703,1,0
1613886883,0,3
1613888245,1,0
1613889279,1,0
1613892069,0,1
1613894981,2,0
1613898698,1,0
1613900099,1,2
1613902947,2,0
1613904064,0,4
1613906535,2,2
1613907278,0,3
1613910880,1,1
1613917539,4,3
1613918979,1,1
1613920663,2,1
1613921673,1,0
1613924736,2,0
1613925280,0,1
1613927048,1,2
1613930569,1,0
1613932476,0,1
1613935555,1,1
1613937040,0,1
1613939177,1,0
1613940821,1,0
1613942747,1,1
1613946340,0,1
1613950479,0,1
1613953542,0,1
1613954079,0,4
1613957680,2,0
1613960395,2,0
1613961995,0,1
1613969444,2,2
1613970642,0,1
1613973228,1,0
1613974441,0,1
1613975692,0,1
1613978345,0,1
1613979276,2,1
1613982912,1,1
1613984133,1,0
1613986480,0,1
1613987707,2,0
1613992645,2,1
