DateTime,AddedIPs,RemovedIPs
1612927280,8,9
1612929151,10,0
1612931064,8,19
1612933024,12,0
1612934922,10,10
1612936831,10,12
1612938766,7,6
1612940684,8,8
1612942581,12,8
1612944537,11,11
1612947414,15,12
1612949311,13,14
1612951233,5,13
1612953171,13,0
1612957939,12,41
1612960824,17,14
1612962789,14,10
1612964686,11,16
1612966584,20,7
1612968562,17,11
1612970431,10,16
1612973819,17,25
1612975716,18,11
1612977660,16,12
1612979583,11,0
1612982530,10,22
1612985345,11,6
1612987236,17,12
1612989206,8,10
1612991077,8,0
1612993041,7,12
1612994922,7,8
1612996878,9,9
1612998743,12,11
1613000667,14,4
1613002581,14,11
1613004530,9,5
1613006443,13,16
1613008382,15,9
1613010311,11,6
1613012224,12,9
1613014100,12,8
1613016081,13,10
1613017942,17,0
1613019923,11,8
1613022737,15,26
1613024728,19,16
1613026580,25,13
1613028507,16,0
1613030542,16,12
1613032602,15,18
1613034505,18,22
1613036420,11,11
1613038369,9,19
1613040305,15,13
1613044176,8,29
1613046006,13,19
1613047958,13,11
1613049903,13,13
1613052776,13,18
1613054685,10,14
1613057571,16,31
1613059515,17,11
1613062376,10,14
1613064280,11,11
1613066175,8,11
1613068139,19,13
1613070021,15,3
1613071946,7,13
1613073936,12,12
1613075827,7,12
1613077701,10,14
1613079697,8,9
1613081560,5,11
1613083466,14,12
1613085423,11,8
1613087331,8,14
1613089248,14,9
1613091212,15,7
1613093065,10,14
1613094995,10,9
1613096957,8,14
1613098843,11,17
1613100760,7,8
1613102729,12,15
1613104584,12,0
1613106741,6,19
1613108687,12,13
1613110603,18,14
1613112729,13,19
1613114668,13,23
1613116663,6,22
1613118496,10,11
1613120472,16,25
1613122327,18,18
1613125272,6,13
1613127136,9,14
1613130034,14,17
1613131954,10,13
1613133902,15,16
1613135788,16,13
1613138947,13,14
1613140824,15,15
1613142758,13,17
1613144714,13,13
1613147574,16,13
1613149477,12,14
1613151406,12,9
1613153312,9,5
1613155241,9,10
1613157209,16,18
1613159092,9,0
1613161017,11,15
1613162911,11,7
1613164836,8,4
1613166768,13,9
1613168659,6,10
1613170899,8,13
1613172749,18,10
1613174734,14,11
1613176570,16,13
1613178745,10,8
1613180659,13,16
1613182612,10,13
1613184508,11,14
1613186445,7,19
1613188384,15,13
1613190267,21,19
1613192196,14,0
1613194168,13,24
1613196105,10,23
1613198919,13,38
1613201780,7,15
1613203967,15,11
1613205867,13,15
1613207815,10,13
1613209699,9,15
1613211657,11,17
1613216423,12,24
1613218352,7,12
1613220307,10,7
1613224124,14,15
1613226049,9,12
1613227946,17,0
1613229861,17,17
1613231817,9,12
1613233717,13,0
1613235662,16,18
1613237598,15,0
1613239494,17,9
1613241437,13,17
1613243316,10,5
1613245738,10,2
1613247637,8,12
1613249549,10,6
1613251583,11,14
1613253679,9,11
1613255542,14,6
1613257715,4,8
1613259659,11,7
1613261564,17,10
1613263547,11,8
1613265390,7,0
1613267326,8,8
1613269269,14,8
1613271142,17,11
1613273086,13,0
1613275021,10,12
1613276909,14,16
1613278844,12,17
1613280780,14,12
1613282675,10,12
1613284575,10,14
1613286533,14,0
1613288417,10,15
1613290362,16,20
1613292283,18,6
1613294166,15,13
1613296088,15,7
1613298053,8,16
1613299931,10,10
1613301875,15,0
1613304781,9,17
1613306708,15,9
1613308596,11,14
1613310549,9,12
1613313422,7,16
1613315295,6,14
1613318202,12,21
1613320129,8,8
1613322071,21,17
1613323952,14,16
1613326828,9,12
1613328739,14,13
1613330701,13,8
1613332597,12,4
1613335464,7,7
1613337398,13,17
1613341498,12,21
1613343386,14,8
1613345303,6,7
1613347292,8,4
1613349151,10,7
1613351066,4,5
1613353032,7,5
1613354940,16,7
1613356817,9,5
1613358808,7,12
1613360673,14,9
1613363549,14,11
1613365478,8,11
1613369298,7,12
1613371235,7,15
1613373171,11,9
1613375060,7,0
1613377004,12,10
1613380827,13,31
1613383061,12,7
1613387111,15,17
1613389957,7,25
1613391970,12,12
1613394149,19,15
1613396212,10,14
1613398397,7,16
1613400268,13,20
1613402196,17,18
1613404130,14,0
1613406017,19,7
1613408909,15,9
1613412772,11,10
1613414701,11,7
1613416603,8,7
1613418746,11,10
1613420681,8,7
1613422578,10,11
1613424538,10,6
1613426429,9,8
1613429551,9,11
1613432426,11,13
1613434376,9,0
1613436267,9,0
1613438664,10,12
1613440845,11,21
1613442883,14,14
1613445836,20,11
1613447778,11,15
1613449718,15,15
1613451665,16,11
1613454538,14,15
1613456466,12,11
1613458327,16,12
1613462215,12,23
1613464100,10,11
1613466048,11,14
1613467951,20,20
1613470820,16,15
1613472775,11,9
1613474688,15,18
1613477564,17,12
1613479483,17,8
1613481443,14,0
1613483320,18,8
1613485242,18,7
1613487188,6,9
1613489067,12,14
1613490993,16,8
1613492960,18,13
1613495810,7,7
1613497702,8,14
1613499618,10,8
1613501576,12,3
1613503463,11,0
1613505470,8,20
1613507320,16,0
1613509228,24,4
1613511179,12,11
1613513087,17,4
1613515024,15,11
1613517215,20,12
1613519111,9,12
1613521014,12,4
1613525104,21,23
