DateTime,Entries,UniqueIPs
1612927280,16048,16910
1612929151,16057,16920
1612931064,16047,16909
1612933024,16059,16921
1612934922,16059,16921
1612936831,16056,16919
1612938766,16057,16920
1612940684,16058,16920
1612942581,16063,16924
1612944537,16063,16924
1612947414,16066,16927
1612949311,16066,16926
1612951233,16059,16918
1612953171,16071,16931
1612957939,16045,16902
1612960824,16047,16905
1612962789,16050,16909
1612964686,16045,16904
1612966584,16057,16917
1612968562,16064,16923
1612970431,16058,16917
1612973819,16051,16909
1612975716,16058,16916
1612977660,16063,16920
1612979583,16074,16931
1612982530,16063,16919
1612985345,16067,16924
1612987236,16074,16929
1612989206,16071,16927
1612991077,16078,16935
1612993041,16073,16930
1612994922,16073,16929
1612996878,16074,16929
1612998743,16074,16930
1613000667,16085,16940
1613002581,16087,16943
1613004530,16091,16947
1613006443,16088,16944
1613008382,16095,16950
1613010311,16099,16955
1613012224,16100,16958
1613014100,16102,16962
1613016081,16106,16965
1613017942,16122,16982
1613019923,16125,16985
1613022737,16113,16974
1613024728,16117,16977
1613026580,16127,16989
1613028507,16142,17005
1613030542,16146,17009
1613032602,16143,17006
1613034505,16140,17002
1613036420,16141,17002
1613038369,16130,16992
1613040305,16132,16994
1613044176,16111,16973
1613046006,16106,16967
1613047958,16109,16969
1613049903,16110,16969
1613052776,16107,16964
1613054685,16103,16960
1613057571,16089,16945
1613059515,16096,16951
1613062376,16092,16947
1613064280,16092,16947
1613066175,16087,16944
1613068139,16094,16950
1613070021,16105,16962
1613071946,16099,16956
1613073936,16099,16956
1613075827,16099,16951
1613077701,16095,16947
1613079697,16095,16946
1613081560,16090,16940
1613083466,16092,16942
1613085423,16095,16945
1613087331,16091,16939
1613089248,16095,16944
1613091212,16102,16952
1613093065,16100,16948
1613094995,16099,16949
1613096957,16093,16943
1613098843,16088,16937
1613100760,16088,16936
1613102729,16085,16933
1613104584,16097,16945
1613106741,16084,16932
1613108687,16082,16931
1613110603,16087,16935
1613112729,16082,16929
1613114668,16074,16919
1613116663,16061,16903
1613118496,16060,16902
1613120472,16051,16893
1613122327,16053,16893
1613125272,16048,16886
1613127136,16043,16881
1613130034,16046,16878
1613131954,16041,16875
1613133902,16039,16874
1613135788,16047,16877
1613138947,16047,16876
1613140824,16048,16876
1613142758,16043,16872
1613144714,16043,16872
1613147574,16047,16875
1613149477,16047,16873
1613151406,16051,16876
1613153312,16056,16880
1613155241,16054,16879
1613157209,16052,16877
1613159092,16060,16886
1613161017,16055,16882
1613162911,16058,16886
1613164836,16064,16890
1613166768,16068,16894
1613168659,16064,16890
1613170899,16059,16885
1613172749,16065,16893
1613174734,16067,16896
1613176570,16070,16899
1613178745,16071,16901
1613180659,16068,16898
1613182612,16065,16895
1613184508,16062,16892
1613186445,16053,16880
1613188384,16056,16882
1613190267,16057,16884
1613192196,16070,16898
1613194168,16058,16887
1613196105,16046,16874
1613198919,16024,16849
1613201780,16016,16841
1613203967,16024,16845
1613205867,16022,16843
1613207815,16019,16840
1613209699,16014,16834
1613211657,16014,16828
1613216423,16005,16816
1613218352,16000,16811
1613220307,16003,16814
1613224124,16002,16813
1613226049,15999,16810
1613227946,16016,16827
1613229861,16017,16827
1613231817,16013,16824
1613233717,16024,16837
1613235662,16025,16835
1613237598,16040,16850
1613239494,16050,16858
1613241437,16047,16854
1613243316,16054,16859
1613245738,16061,16867
1613247637,16057,16863
1613249549,16061,16867
1613251583,16061,16864
1613253679,16061,16862
1613255542,16069,16870
1613257715,16070,16866
1613259659,16074,16870
1613261564,16077,16877
1613263547,16079,16880
1613265390,16086,16887
1613267326,16086,16887
1613269269,16091,16893
1613271142,16100,16899
1613273086,16113,16912
1613275021,16110,16910
1613276909,16108,16908
