DateTime,AddedIPs,RemovedIPs
1612159331,2,12
1612162930,0,15
1612166532,3,10
1612170132,0,21
1612173730,1,16
1612177330,5,10
1612180928,2,3
1612184528,10,24
1612188129,4,10
1612191730,4,11
1612195329,2,11
1612198813,2,19
1612202423,3,10
1612206029,5,12
1612209605,4,20
1612213208,5,24
1612216806,9,15
1612220419,7,15
1612224006,4,18
1612227607,4,21
1612231209,4,18
1612234804,8,18
1612238408,9,13
1612242032,3,6
1612245630,4,1
1612249229,6,0
1612252833,1,2
1612256411,1,2
1612260005,3,1
1612263634,7,1
1612267209,2,0
1612270828,5,4
1612274413,5,3
1612278010,7,2
1612281614,5,4
1612285228,4,11
1612288811,1,3
1612292415,2,6
1612296005,0,3
1612299615,5,7
1612303234,6,20
1612306809,4,6
1612310419,7,30
1612314005,1,39
1612317614,4,28
1612321208,52,19
1612324807,38,23
1612328430,47,26
1612332009,40,15
1612335628,22,28
1612339236,14,25
1612342813,12,14
1612346419,14,20
1612350019,17,22
1612353632,25,15
1612357209,19,13
1612360811,19,24
1612364405,18,18
1612368007,25,23
1612371608,23,32
1612375207,20,18
1612378829,21,30
1612382431,36,31
1612386016,37,40
1612389611,43,28
1612393217,30,26
1612396810,37,40
1612400406,52,36
1612404007,47,36
1612407631,48,38
1612411208,62,28
1612414806,38,31
1612418437,16,21
1612422006,20,26
1612425609,17,27
1612429206,13,29
1612432806,11,16
1612436436,22,12
1612440008,29,23
1612443605,9,16
1612447221,17,12
1612450813,24,5
1612454409,34,3
1612458005,34,2
1612461605,41,3
1612465231,38,4
1612468805,40,6
1612472405,45,1
1612476033,38,1
1612479613,57,1
1612483206,51,0
1612486828,55,0
1612490415,63,4
1612494008,56,4
1612497619,68,7
1612501218,61,1
1612504805,57,2
1612508414,33,7
1612512034,40,1
1612515632,29,2
1612519207,37,5
1612522806,19,3
1612526406,25,6
1612530033,11,3
1612533620,25,8
1612537211,35,2
1612540814,35,10
1612544406,28,4
1612548015,43,3
1612551606,49,4
1612555238,56,1
1612558838,47,8
1612562407,40,17
1612566006,6,9
1612569607,3,12
1612573206,5,6
1612576806,2,4
1612580405,3,1
1612584040,1,3
1612587618,4,3
1612591228,5,2
1612594830,4,3
1612598418,8,5
1612602031,5,3
1612605613,3,0
1612609211,3,1
1612612806,1,0
1612616414,2,2
1612620012,2,0
1612623626,5,4
1612627235,2,2
1612630807,0,3
1612634406,5,5
1612638006,3,6
1612641630,2,6
1612645214,4,3
1612648839,5,6
1612652406,4,5
1612656020,3,4
1612659607,5,3
1612663206,9,8
1612666825,21,14
1612670406,22,12
1612674007,7,5
1612677619,5,3
1612681239,2,3
1612684812,9,0
1612688409,3,10
1612692028,4,11
1612695627,1,3
1612699206,8,6
1612702812,5,1
1612706406,11,4
1612710030,3,0
1612713631,3,7
1612717231,5,4
1612720807,6,5
1612724406,6,1
1612728036,8,3
1612731618,7,4
1612735206,3,3
1612738829,9,5
1612742440,8,1
1612746006,7,11
1612749617,2,7
1612753208,6,8
1612756830,4,4
1612760440,5,3
1612764007,4,2
1612767617,2,0
1612771231,6,2
1612774840,2,0
1612778429,1,1
1612782007,1,3
1612785611,6,4
1612789240,0,9
1612792814,0,3
1612796415,0,4
1612800007,0,1
1612803634,0,2
1612807207,0,4
1612810806,0,5
1612814412,0,2
1612818006,0,7
1612821606,1,8
1612825233,2,2
1612828812,0,8
1612832414,0,2
1612836040,0,4
