DateTime,AddedIPs,RemovedIPs
1612195233,202,56
1612198864,190,56
1612202435,150,64
1612206066,167,47
1612209665,125,53
1612213266,167,71
1612216854,162,59
1612220466,130,98
1612224054,94,106
1612227637,107,177
1612231265,130,132
1612234865,128,142
1612238436,100,156
1612242058,93,155
1612245654,87,114
1612249265,83,135
1612252835,127,139
1612256435,94,129
1612260065,73,101
1612263636,96,140
1612267253,112,154
1612270835,121,122
1612274436,131,69
1612278036,88,85
1612281652,90,133
1612285236,104,104
1612288866,137,120
1612292437,116,93
1612296052,124,91
1612299637,97,110
1612303257,101,96
1612306833,103,79
1612310464,78,86
1612314037,73,68
1612317665,84,114
1612321237,86,68
1612324837,99,78
1612328465,90,82
1612332033,60,88
1612335636,155,95
1612339237,212,109
1612342835,120,104
1612346457,103,79
1612350037,102,106
1612353637,88,97
1612357237,123,98
1612360837,80,83
1612364434,103,93
1612368033,131,73
1612371650,104,86
1612375254,145,62
1612378833,103,71
1612382455,67,79
1612386066,66,73
1612389637,101,73
1612393258,77,89
1612396837,78,77
1612400467,72,51
1612404033,79,73
1612407633,102,69
1612411233,76,69
1612414836,111,107
1612418456,87,92
1612422066,106,85
1612425653,100,93
1612429238,64,89
1612432857,70,83
1612436437,75,75
1612440066,85,94
1612443666,87,127
1612447266,71,77
1612450837,73,75
1612454437,91,63
1612458066,81,65
1612461637,61,71
1612465236,94,67
1612468854,98,68
1612472433,139,75
1612476064,106,66
1612479657,77,74
1612483233,63,66
1612486867,87,76
1612490437,77,90
1612494034,89,60
1612497637,129,72
1612501264,88,77
1612504837,79,94
1612508434,104,67
1612512055,89,68
1612515638,81,82
1612519267,82,65
1612522838,84,94
1612526466,86,88
1612530038,102,67
1612533668,96,64
1612537234,99,95
1612540867,83,90
1612544464,74,85
1612548068,78,80
1612551668,76,52
1612555236,85,64
1612558834,143,74
1612562463,106,57
1612566038,81,44
1612569668,87,50
1612573238,72,38
1612576838,106,78
1612580468,71,55
1612584038,86,86
1612587638,83,71
1612591233,100,72
1612594869,132,57
1612598435,78,65
1612602067,78,77
1612605638,46,95
1612609239,101,106
1612612868,100,117
1612616438,94,103
1612620034,109,96
1612623635,94,62
1612627268,119,71
1612630859,78,63
1612634456,92,65
1612638069,102,73
1612641668,91,64
1612645269,99,58
1612648868,97,93
1612652435,88,65
1612656037,70,63
1612659635,79,70
1612663268,64,87
1612666864,94,80
1612670434,55,69
1612674039,71,75
1612677635,50,83
1612681234,66,51
1612684834,88,96
1612688438,45,69
1612692069,87,114
1612695668,88,95
1612699239,91,72
1612702861,92,77
1612706435,227,63
1612710069,128,74
1612713635,135,57
1612717239,166,67
1612720840,127,33
1612724436,148,57
1612728070,413,70
1612731635,258,88
1612735263,147,93
1612738836,169,91
1612742436,123,75
1612746037,111,82
1612749640,161,92
1612753240,113,95
1612756834,135,94
1612760459,139,87
1612764039,127,69
1612767659,112,95
1612771260,134,84
1612774839,123,85
1612778436,123,99
1612782040,150,108
1612785661,130,73
1612789239,126,83
1612792840,152,172
1612796469,92,113
1612800052,112,116
1612803660,120,123
1612807267,104,101
1612810868,137,95
1612814435,116,58
1612818038,126,104
1612821640,156,106
1612825268,117,91
1612828870,109,71
1612832459,133,84
1612836070,143,105
1612839670,99,102
1612843237,98,108
1612846839,106,76
1612850439,99,84
1612854038,119,88
1612857637,129,120
1612861268,118,84
1612864840,118,74
1612868440,112,92
1612872070,154,88
1612875638,113,112
1612879270,103,129
1612882870,128,104
1612886470,94,92
1612890069,123,99
1612893639,100,101
1612897270,117,108
1612900871,98,96
1612904470,102,90
1612908070,121,83
1612911670,116,80
1612915271,105,100
1612918840,97,69
1612922469,127,97
1612926038,102,90
1612929663,145,93
1612933261,126,91
1612936868,130,75
1612940439,112,127
1612944071,114,199
1612947640,106,161
1612951239,129,102
1612954840,119,114
1612958439,105,88
1612962035,131,126
1612965663,122,94
1612969270,161,115
1612972859,124,123
1612976469,120,113
1612980070,102,117
1612983635,107,98
1612987262,108,81
1612990865,91,82
1612994470,105,91
1612998069,105,67
1613001635,78,75
1613005256,99,70
1613008840,110,96
1613012470,103,104
1613016040,97,75
1613019668,151,78
1613023239,116,94
1613026840,101,95
1613030458,110,93
1613034039,106,84
1613037638,59,84
1613041270,124,91
1613044839,156,85
1613048470,70,86
1613052039,100,76
1613055636,461,92
1613059238,223,94
1613062838,190,74
1613066439,129,60
1613070039,107,101
1613073653,104,97
1613077270,115,107
1613080839,121,107
1613084470,79,91
1613088058,100,70
1613091664,80,79
1613095236,151,134
1613098859,69,91
1613102470,77,100
1613106069,100,84
1613109668,84,69
1613113235,106,114
1613116870,135,89
1613120457,143,82
1613124068,56,83
1613127638,126,97
1613131239,81,82
1613134835,96,92
1613138435,124,85
1613142038,84,97
1613145634,174,84
1613149234,125,94
1613152835,171,75
1613156439,153,76
1613160038,145,81
1613163661,166,113
1613167234,191,123
1613170869,157,66
1613174468,126,91
1613178035,148,71
1613181661,144,88
1613185238,129,73
1613188838,112,86
1613192470,114,89
1613196039,134,96
1613199670,109,120
1613203236,141,91
1613206862,126,71
1613210435,163,46
1613214068,147,93
1613217640,147,95
1613221268,115,68
1613224838,168,109
1613228464,160,101
1613232039,156,120
1613235664,151,69
1613239236,142,83
1613242870,148,83
1613246440,110,86
1613250034,96,86
1613253658,102,99
1613257240,124,84
1613260869,111,78
1613264434,104,75
1613268035,121,54
1613271659,131,92
1613275270,126,67
1613278870,146,66
1613282468,120,64
1613286039,149,74
1613289663,108,85
1613293263,113,58
1613296839,130,92
1613300439,143,84
1613304034,145,98
1613307639,191,90
1613311270,150,90
1613314865,217,113
1613318438,275,73
1613322064,225,95
1613325638,110,75
1613329238,172,114
1613332838,197,257
1613336470,162,230
1613340039,145,108
1613343635,155,121
1613347269,196,88
1613350864,143,85
1613354465,164,157
1613358037,113,105
1613361638,163,120
1613365240,161,108
1613368835,152,109
1613372439,156,113
1613376038,139,100
1613379640,129,106
1613383236,119,107
1613386872,150,127
1613390440,185,135
1613394036,91,99
1613397641,120,126
1613401271,193,92
1613404841,116,85
1613408473,346,97
1613412041,245,76
1613415640,101,140
1613419237,123,93
1613422842,120,116
1613426474,112,130
1613430041,112,96
1613433642,137,85
1613437242,129,118
1613440875,163,121
1613444442,125,84
1613448040,161,99
1613451639,154,95
1613455275,128,88
1613458841,78,104
1613462442,216,113
1613466037,178,119
1613469672,334,132
1613473265,90,109
1613476875,287,149
1613480474,417,109
1613484042,156,109
1613487674,396,120
1613491243,239,84
1613494863,182,114
1613498467,280,95
1613502038,374,92
1613505639,119,90
1613509241,43,103
1613512841,55,133
1613516441,47,92
1613520074,98,94
1613523674,209,104
1613527270,202,125
1613530875,148,105
1613534441,198,133
1613538068,112,120
1613541673,96,121
1613545270,47,115
1613548841,58,127
1613552475,57,124
1613556043,56,125
1613559641,55,110
1613563268,66,127
1613566838,62,119
1613570469,72,126
1613574072,77,159
1613577673,59,117
1613581273,56,105
1613584870,42,103
1613588472,53,110
1613592072,55,107
1613595642,54,88
1613599238,71,99
1613602876,72,103
1613606438,73,70
1613610075,66,95
1613613669,81,96
1613617269,52,82
1613620873,73,79
1613624470,69,119
1613628042,67,112
1613631673,65,112
1613635271,62,90
1613638842,90,109
1613642473,66,49
1613646038,65,112
1613649642,58,151
