DateTime,AddedIPs,RemovedIPs
1612195236,187,42
1612198836,177,49
1612202466,138,47
1612206055,151,40
1612209632,120,40
1612213233,149,54
1612216837,148,55
1612220433,113,88
1612224066,80,88
1612227651,92,169
1612231251,110,118
1612234832,98,126
1612238437,88,143
1612242036,84,137
1612245665,70,109
1612249237,72,120
1612252836,116,108
1612256436,86,117
1612260032,64,96
1612263633,87,114
1612267265,99,140
1612270863,107,105
1612274437,89,66
1612278052,75,71
1612281637,83,122
1612285261,80,87
1612288833,128,107
1612292433,97,69
1612296037,96,71
1612299637,79,95
1612303266,79,79
1612306836,87,74
1612310437,58,67
1612314054,57,50
1612317665,60,85
1612321234,75,62
1612324854,83,61
1612328464,70,68
1612332066,48,78
1612335665,130,69
1612339264,192,65
1612342837,104,85
1612346458,93,63
1612350032,74,83
1612353637,65,75
1612357257,92,79
1612360833,60,61
1612364466,81,69
1612368038,88,63
1612371666,78,66
1612375237,110,56
1612378837,82,61
1612382437,56,68
1612386037,45,59
1612389665,73,63
1612393236,64,64
1612396837,71,63
1612400434,67,34
1612404038,55,47
1612407666,67,53
1612411237,60,62
1612414866,79,75
1612418458,76,71
1612422033,93,70
1612425637,87,76
1612429254,56,81
1612432838,62,72
1612436432,66,58
1612440053,69,77
1612443662,80,86
1612447251,65,66
1612450837,68,62
1612454438,91,54
1612458032,72,53
1612461660,52,58
1612465258,78,49
1612468866,72,48
1612472466,116,66
1612476063,68,44
1612479667,57,50
1612483266,48,54
1612486852,64,58
1612490433,53,55
1612494067,69,48
1612497638,106,60
1612501266,73,63
1612504837,73,74
1612508467,78,61
1612512067,72,57
1612515635,66,68
1612519257,71,59
1612522860,67,79
1612526437,65,75
1612530053,76,55
1612533637,72,51
1612537238,81,81
1612540833,72,68
1612544466,55,56
1612548060,65,65
1612551657,69,38
1612555238,68,52
1612558868,120,60
1612562438,87,43
1612566039,65,36
1612569639,55,39
1612573233,56,22
1612576839,65,44
1612580434,56,46
1612584063,72,72
1612587639,67,49
1612591267,87,65
1612594863,119,42
1612598439,66,49
1612602067,61,49
1612605636,28,59
1612609263,83,73
1612612835,84,82
1612616438,81,68
1612620068,95,62
1612623638,69,31
1612627258,98,39
1612630839,66,51
1612634439,83,39
1612638036,89,53
1612641668,77,57
1612645235,82,48
1612648862,76,79
1612652469,72,46
1612656037,52,51
1612659669,65,57
1612663239,55,57
1612666863,63,65
1612670439,46,53
1612674069,60,66
1612677639,42,69
1612681269,51,31
1612684839,68,68
1612688469,31,51
1612692040,75,98
1612695634,68,59
1612699259,78,55
1612702839,57,48
1612706469,210,49
1612710059,110,61
1612713639,111,43
1612717269,137,58
1612720870,110,23
1612724440,132,33
1612728064,377,55
1612731670,230,73
1612735239,133,76
1612738839,156,70
1612742438,99,63
1612746065,104,75
1612749668,133,63
1612753236,96,91
1612756870,124,78
1612760462,129,70
1612764036,119,64
1612767639,89,82
1612771240,121,78
1612774862,106,74
1612778465,119,89
1612782063,131,93
1612785641,119,70
1612789235,117,62
1612792835,138,139
1612796439,81,97
1612800040,106,101
1612803669,116,109
1612807270,92,84
1612810840,121,80
1612814470,101,54
1612818040,105,83
1612821666,114,93
1612825240,102,82
1612828840,89,64
1612832440,108,73
1612836036,102,90
1612839658,90,80
1612843270,91,88
1612846869,100,69
1612850470,93,68
1612854070,113,75
1612857638,115,109
1612861239,104,78
1612864837,107,67
1612868470,99,76
1612872064,128,77
1612875639,99,93
1612879239,87,80
1612882839,117,86
1612886439,86,78
1612890036,106,75
1612893639,89,92
1612897235,99,92
1612900841,85,76
1612904436,81,69
1612908059,110,67
1612911640,102,62
1612915235,85,77
1612918835,79,55
1612922440,92,70
1612926040,78,81
1612929639,116,78
1612933271,103,68
1612936841,116,55
1612940440,98,108
1612944040,106,178
1612947660,99,140
1612951266,110,91
1612954840,88,86
1612958471,81,67
1612962071,112,91
1612965671,107,78
1612969239,136,94
1612972839,115,97
1612976470,96,95
1612980040,77,92
1612983640,87,80
1612987237,82,68
1612990840,59,51
1612994470,93,62
1612998071,99,56
1613001640,64,62
1613005271,85,61
1613008869,86,65
1613012461,80,76
1613016071,83,56
