DateTime,AddedIPs,RemovedIPs
1612195348,3,0
1612198949,4,5
1612202550,3,5
1612206151,0,2
1612209801,3,3
1612213317,4,1
1612216899,6,0
1612220501,4,2
1612224202,5,0
1612227801,3,2
1612231317,3,0
1612234890,3,2
1612238492,1,2
1612242100,1,1
1612245801,2,0
1612249401,2,5
1612252891,4,5
1612256602,5,2
1612260202,2,3
1612263699,3,0
1612267401,3,1
1612271005,5,2
1612274492,5,7
1612278202,5,4
1612281691,4,2
1612285402,1,3
1612289001,1,3
1612292600,2,3
1612296118,10,1
1612299701,29,10
1612303291,4,2
1612306891,6,4
1612310517,3,0
1612314204,0,4
1612317805,0,6
1612321301,2,3
1612325003,1,0
1612328501,4,0
1612332100,2,0
1612335718,4,5
1612339301,5,11
1612342917,5,3
1612346518,3,4
1612350203,4,6
1612353805,0,6
1612357404,13,0
1612360901,2,2
1612364492,6,4
1612368205,3,3
1612371806,4,5
1612375404,5,2
1612379005,3,5
1612382517,3,16
1612386205,0,12
1612389804,5,6
1612393292,0,2
1612397006,4,2
1612400493,3,26
1612404204,0,41
1612407803,45,26
1612411405,0,7
1612414892,2,8
1612418604,6,10
1612422205,3,10
1612425719,4,3
1612429302,1,10
1612433005,6,11
1612436605,3,3
1612440203,4,2
1612443701,1,2
1612447404,22,3
1612451004,32,3
1612454493,34,3
1612458203,2,3
1612461805,2,1
1612465405,6,1
1612469005,5,10
1612472605,1,3
1612476207,1,4
1612479693,3,9
1612483404,1,5
1612487003,4,1
1612490604,3,5
1612494203,4,3
1612497703,2,13
1612501403,2,5
1612505004,4,0
1612508605,2,2
1612512204,3,7
1612515721,1,2
1612519405,5,4
1612523003,3,14
1612526520,4,3
1612530204,2,2
1612533804,1,1
1612537406,1,4
1612541004,3,6
1612544605,1,8
1612548094,4,4
1612551806,1,0
1612555405,3,3
1612558901,0,3
1612562603,2,11
1612566204,5,4
1612569803,5,3
1612573293,1,2
1612577003,3,4
1612580494,5,4
1612584206,4,6
1612587694,2,2
1612591320,1,5
1612595005,0,4
1612598605,8,1
1612602094,3,6
1612605704,7,3
1612609295,4,4
1612613004,3,6
1612616505,7,0
1612620203,18,3
1612623806,1,4
1612627404,0,2
1612631004,4,0
1612634604,0,6
1612638095,5,3
1612641805,3,5
1612645320,1,3
1612649004,5,2
1612652495,0,2
1612656204,2,2
1612659804,3,1
1612663403,1,2
1612667005,3,2
1612670606,5,2
1612674204,1,2
1612677806,2,2
1612681295,1,2
1612685005,2,1
1612688522,1,4
1612692205,2,0
1612695720,3,0
1612699322,4,2
1612702894,5,2
1612706503,3,1
1612710204,3,1
1612713803,2,5
1612717322,10,0
1612720896,2,0
1612724605,1,2
1612728204,2,0
1612731722,3,0
1612735406,3,1
1612739005,0,1
1612742505,4,1
1612746124,2,2
1612749806,5,1
1612753297,2,2
1612756897,7,3
1612760605,3,1
1612764096,1,2
1612767805,2,5
1612771411,4,2
1612775006,6,1
1612778506,4,2
1612782097,1,3
1612785697,2,0
1612789297,6,5
1612793006,2,3
1612796497,2,1
1612800206,4,3
1612803804,0,5
1612807415,6,3
1612810905,2,0
1612814604,2,3
1612818106,0,3
1612821804,3,2
1612825323,2,5
1612829004,4,7
1612832523,4,2
1612836098,4,2
1612839804,1,3
1612843307,4,1
1612847004,3,1
1612850505,1,6
1612854204,2,3
1612857806,4,2
1612861403,4,4
1612865005,2,4
1612868508,7,4
1612872206,1,1
1612875697,1,8
1612879405,1,5
1612883006,2,3
1612886605,4,2
1612890203,2,2
1612893697,2,2
1612897406,0,3
1612900924,1,10
1612904507,1,22
1612908204,4,3
1612911707,2,9
1612915298,1,8
1612919007,1,0
1612922604,2,0
1612926124,1,1
1612929804,3,3
1612933406,5,0
1612936926,1,1
1612940604,1,4
1612944108,4,7
1612947704,4,5
1612951405,5,5
1612955006,5,4
1612958604,2,1
1612962105,14,11
1612965805,7,1
1612969307,7,4
