DateTime,Entries,UniqueIPs
1612260072,6961,6961
1612261866,6980,6980
1612265474,6976,6976
1612270875,6978,6978
1612272674,6984,6984
1612276299,6974,6974
1612279903,6942,6942
1612283493,6934,6934
1612288884,6937,6937
1612290671,6942,6942
1612292488,6937,6937
1612294279,6907,6907
1612297893,6909,6909
1612299703,6934,6934
1612303353,6908,6908
1612305067,6909,6909
1612308668,6902,6902
1612314093,6938,6938
1612315871,6969,6969
1612319493,6963,6963
1612324884,6946,6946
1612326668,6936,6936
1612328475,6934,6934
1612333875,6944,6944
1612337464,6937,6937
1612341073,6941,6941
1612346478,6942,6942
1612348276,6951,6951
1612351884,6928,6928
1612353674,6932,6932
1612355493,6927,6927
1612359074,6926,6926
1612362666,6917,6917
1612368076,6896,6896
1612371693,6885,6885
1612373474,6877,6877
1612377069,6888,6888
1612382507,6891,6891
1612384306,6859,6859
1612386165,6843,6843
1612391482,6878,6878
1612395074,6889,6889
1612398688,6918,6918
1612402270,6942,6942
1612405874,6944,6944
1612409501,6936,6936
1612413074,6918,6918
1612416704,6908,6908
1612420294,6928,6928
1612423870,6926,6926
1612427466,6943,6943
1612431069,6926,6926
1612436474,6935,6935
1612438305,6943,6943
1612440074,6926,6926
1612441904,6931,6931
1612447274,6948,6948
1612449089,6950,6950
1612452693,6932,6932
1612456354,6929,6929
1612459901,6885,6885
1612463523,6893,6893
1612467098,6896,6896
1612468907,6893,6893
1612470669,6883,6883
1612474266,6863,6863
1612477878,6882,6882
1612481475,6816,6816
1612483354,6846,6846
1612488692,6871,6871
1612494079,6869,6869
1612497692,6851,6851
1612499475,6854,6854
1612504901,6844,6844
1612506677,6846,6846
1612510268,6844,6844
1612513887,6849,6849
1612519376,6852,6852
1612521077,6853,6853
1612524679,6906,6906
1612528277,6912,6912
1612531873,6848,6848
1612533673,6912,6912
1612535471,6849,6849
1612537275,6833,6833
1612542696,6846,6846
1612546272,6826,6826
1612549867,6912,6912
1612551717,6821,6821
1612558924,6830,6830
1612562547,6830,6830
1612566100,6730,6730
1612567873,6735,6735
1612569691,6730,6730
1612571491,6752,6752
1612575073,6778,6778
1612578708,6764,6764
1612580470,6778,6778
1612582267,6776,6776
1612587671,6737,6737
1612593076,6747,6747
1612596672,6746,6746
1612600294,6745,6745
1612603901,6736,6736
1612607470,6755,6755
1612612931,6758,6758
1612614668,6744,6744
1612618277,6741,6741
1612621879,6748,6748
1612625467,6769,6769
1612629087,6772,6772
1612632692,6757,6757
1612636347,6714,6714
1612641708,6775,6775
1612647106,6742,6742
1612650667,6729,6729
1612652476,6748,6748
1612654297,6721,6721
1612657882,6776,6776
1612663309,6729,6729
1612666881,6777,6777
1612668679,6772,6772
1612672303,6769,6769
1612677696,6757,6757
1612679466,6755,6755
1612683073,6756,6756
1612688515,6764,6764
1612690269,6758,6758
1612693977,6751,6751
1612697471,6752,6752
1612702882,6748,6748
1612704665,6755,6755
1612710092,6737,6737
1612711888,6735,6735
1612715588,6736,6736
1612719070,6711,6711
1612722681,6722,6722
1612728080,6753,6753
1612731665,6704,6704
1612737068,6689,6689
1612740690,6703,6703
1612742473,6704,6704
1612744276,6717,6717
1612749667,6759,6759
1612751507,6748,6748
1612757018,6736,6736
1612758703,6729,6729
1612764083,6719,6719
1612765894,6710,6710
1612769475,6706,6706
1612773071,6731,6731
1612776674,6745,6745
1612782093,6735,6735
1612785700,6736,6736
1612787494,6749,6749
1612791082,6744,6744
1612792892,6738,6738
1612798269,6731,6731
1612801882,6696,6696
1612805470,6735,6735
1612810883,6711,6711
1612812680,6698,6698
1612814480,6703,6703
1612819875,6741,6741
1612821676,6733,6733
1612825506,6633,6633
1612830677,6780,6780
1612834271,6807,6807
1612837866,6794,6794
1612841477,6776,6776
1612845087,6763,6763
1612848666,6767,6767
1612852290,6774,6774
1612857672,6802,6802
1612859478,6798,6798
1612863067,6783,6783
1612866673,6779,6779
1612870275,6779,6779
1612873875,6673,6673
1612879332,6716,6716
1612881097,6725,6725
1612882886,6659,6659
1612884669,6725,6725
1612886487,6659,6659
1612888273,6637,6637
1612890075,6659,6659
1612891895,6652,6652
1612895482,6656,6656
1612899070,6655,6655
1612904518,6630,6630
1612911688,6632,6632
1612917065,6653,6653
1612920700,6687,6687
1612926094,6676,6676
1612927875,6672,6672
1612933305,6660,6660
1612935101,6650,6650
1612936910,6663,6663
1612938674,6650,6650
1612940466,6661,6661
1612944074,6649,6649
1612947674,6663,6663
1612949478,6649,6649
1612953076,6643,6643
1612958484,6636,6636
1612960303,6611,6611
1612963891,6620,6620
1612967500,6652,6652
1612971091,6603,6603
1612974675,6590,6590
1612976474,6543,6543
1612980131,6557,6557
1612985466,6555,6555
1612989085,6480,6480
1612992704,6482,6482
1612996306,6482,6482
1612999902,6468,6468
1613003472,6490,6490
1613007083,6525,6525
1613008877,6518,6518
1613016076,6517,6517
1613017883,6488,6488
1613023276,6487,6487
1613026878,6490,6490
1613030474,6483,6483
1613037669,6483,6483
1613039492,6491,6491
1613044879,6465,6465
1613048469,6453,6453
1613052098,6462,6462
1613053891,6455,6455
1613059270,6435,6435
1613061086,6442,6442
1613066484,6443,6443
1613068276,6444,6444
1613071873,6439,6439
1613075504,6430,6430
1613079091,6437,6437
1613082674,6445,6445
1613084477,3398,3398
