DateTime,AddedIPs,RemovedIPs
1613517030,1,0
1613517333,2,0
1613518234,2,0
1613519432,4,0
1613521835,7,0
1613522737,4,0
1613523634,1,0
1613524831,1,0
1613525434,1,0
1613528137,1,0
1613532632,5,0
1613532931,1,0
1613535032,1,0
1613535336,5,0
1613536233,8,0
1613537135,2,0
1613538629,65,0
1613539831,1,0
1613542230,14,3
1613542531,2,0
1613542832,6,0
1613544333,1,0
1613546431,4,0
1613546730,5,0
1613547038,4,0
1613547936,24,0
1613550929,2,0
1613553335,1,0
1613554238,5,0
1613555433,2,0
1613556037,79,0
1613556334,1,0
1613556935,4,0
1613557832,5,0
1613559033,19,0
1613559330,3,0
1613560537,2,0
1613561435,4,0
1613562340,3,0
1613562636,0,2
1613562930,0,1
1613563832,1,0
1613564134,1,0
1613566233,3,0
1613567735,1,0
1613569536,1,0
1613571030,3,0
1613572234,1,0
1613575535,0,2
1613575836,3,0
1613576131,19,0
1613576733,1,0
1613577933,1,0
1613579131,1,0
1613579437,2,0
1613580339,1,0
1613583938,5,0
1613585737,4,0
1613586031,1,0
1613586634,25,0
1613586932,24,0
1613587232,13,0
1613587535,24,0
1613587837,8,2
1613588132,5,0
1613588735,1,0
1613589332,4,0
1613590232,3,0
1613591134,4,0
1613592334,1,0
1613592632,6,0
1613592936,1,0
1613593833,4,0
1613596534,1,0
1613597131,2,0
1613597438,10,0
1613597732,6,0
1613598033,5,0
1613598335,5,0
1613598931,10,0
1613599830,1,0
1613601934,1,0
1613602840,1,0
1613603430,1,0
1613603735,2,0
1613604636,1,0
1613605830,1,0
1613606437,0,2
1613607331,2,0
1613608233,2,0
1613608530,1,0
1613608832,19,0
1613609136,36,0
1613609733,3,0
1613610934,3,0
1613611833,2,0
1613613033,1,0
1613614535,1,0
1613615130,1,0
1613615730,1,0
1613616334,1,0
1613616930,1,0
1613619035,1,0
1613619934,3,0
1613622636,3,0
1613625337,26,0
1613626234,2,0
1613626531,1,0
1613626830,1,0
1613627132,1,0
1613628631,1,0
1613629232,1,0
1613629830,1,0
1613632534,1,0
1613632830,1,0
1613633436,1,0
1613634031,10,1
1613636133,2,0
1613637034,3,0
1613640030,2,0
1613641831,1,0
1613643030,1,0
1613643333,13,0
1613643932,23,0
1613644236,13,0
1613644529,5,0
1613645431,1,0
1613647230,2,0
1613647834,3,0
