DateTime,AddedIPs,RemovedIPs
1613500324,10,28
1613500443,54,75
1613502294,14,13
1613503352,130,97
1613503804,510,0
1613504163,16,14
1613505004,81,106
1613506245,10,9
1613506331,41,45
1613508284,54,98
1613509273,44,31
1613510164,3,7
1613510863,38,51
1613512087,77,118
1613513459,54,60
1613514002,6,16
1613514846,50,73
1613515923,10,9
1613517878,9,12
1613517905,137,84
1613518283,256,0
1613518474,13,84
1613519762,10,10
1613521724,356,84
1613522043,45,94
1613523619,14,25
1613525525,10,4
1613525644,153,164
1613527450,9,13
1613528036,109,71
1613529402,7,7
1613529987,124,84
1613531287,7,3
1613533208,216,167
1613535164,15,12
1613535325,150,71
1613537044,5,13
1613537187,73,112
1613539002,12,24
1613539503,442,81
1613540883,5,14
1613540888,75,126
1613542806,72,82
1613543643,53,91
1613544763,5,21
1613545835,36,29
1613546654,12,11
1613547243,105,178
1613548564,10,13
1613549247,0,15960
1613550525,59,61
1613550844,15921,0
1613552424,6,8
1613552487,0,15902
1613554389,16008,7
1613554443,22,69
1613556256,16,17
1613556903,39,27
1613557225,66,60
1613558166,40,86
1613560122,9,503
1613560866,103,63
1613562008,37,94
1613563329,63,96
1613563922,194,0
1613565243,72,70
1613565897,32,9
1613567135,76,65
1613567823,15,5
1613569725,56,6
1613570489,48,96
1613570928,27,77
1613571625,9,6
1613572443,566,1138
1613573560,7,7
1613575502,68,83
1613576043,58,103
1613577401,10,16
1613577658,54,94
1613578741,0,250
1613579316,77,168
1613580375,43,169
1613581332,7,9
1613583398,128,115
1613585286,20,13
1613586148,48,275
1613586843,102,116
1613587206,5,9
1613589159,12,5
1613589995,0,256
1613590202,151,76
1613591045,13,7
1613591406,100,102
1613592965,8,4
1613592969,66,48
1613594919,47,79
1613595674,37,42
1613596800,4,9
1613597125,37,52
1613597643,86,72
1613598966,12,10
1613599287,82,29
1613600042,56,32
1613600882,8,2
1613601978,56,48
1613602855,13,4
1613602882,51,59
1613604727,64,11
1613604844,29,63
1613606657,175,0
1613607386,75,72
1613608600,16,12
1613609180,44,60
1613610484,6,1
1613611508,123,73
1613612404,14,6
1613612790,21,63
1613614361,13,6
1613615107,114,98
1613616248,46,74
1613618166,19,4
1613619090,87,67
1613619247,54,71
1613620117,10,14
1613622004,15,13
1613622691,112,58
1613622845,34,44
1613623923,12,13
1613625751,9,10
1613625904,109,68
1613627555,7,13
1613628091,48,118
1613629462,13,7
1613629504,94,103
1613630045,22,171
1613631427,13,11
1613631740,65,214
1613633326,10,12
1613633644,97,153
1613635238,9,7
1613637225,109,132
1613637244,60,93
1613639086,20,11
1613639411,77,98
1613640999,15,10
1613642885,62,88
1613643597,125,105
1613644806,13,5
1613645403,81,131
1613646727,16,421
1613647380,66,57
1613648745,11,15
1613648791,84,273
1613650608,204,0
1613651493,102,127
1613652500,84,109
1613654457,10,8
1613655053,1782,0
1613655243,165,160
1613656415,12,7
1613656855,256,256
1613658247,16,7
1613658845,127,358
1613660229,15,7
1613660456,45,217
1613662086,58,492
1613663160,40,151
1613664005,16,9
1613664252,58,112
1613665957,14,5
1613666045,69,121
1613667896,8,4
1613668564,45,27
1613669767,69,56
1613671928,53,122
1613672631,509,0
1613672706,94,46
1613673848,28,138
1613675816,15,11
1613676603,322,325
1613677713,90,75
1613678477,46,19
1613679878,10,15
1613680203,41,35
1613680445,42,69
1613681827,14,12
1613682454,72,77
1613683687,15,11
1613684046,52,57
1613685628,19,10
1613685732,56,79
1613687528,14,7
1613688387,86,0
1613688511,79,111
1613689457,12,9
