DateTime,AddedIPs,RemovedIPs
1613024403,46,57
1613026324,71,73
1613028280,55,63
1613030164,68,62
1613032084,55,85
1613034046,68,69
1613035926,56,65
1613037854,53,66
1613039798,74,73
1613041688,82,3926
1613043603,94,97
1613045557,1819,0
1613047445,79,89
1613049364,119,75
1613051320,84,64
1613053204,110,41
1613055127,117,102
1613057080,72,72
1613058964,97,104
1613060920,108,74
1613062816,83,75
1613064724,114,88
1613066690,80,72
1613068570,88,83
1613070486,83,62
1613072440,104,80
1613074330,61,69
1613076248,67,75
1613078200,96,79
1613080083,89,57
1613082002,102,74
1613083958,87,91
1613085848,93,67
1613087766,80,123
1613089723,1559,0
1613091632,80,71
1613093524,72,51
1613095491,54,38
1613097366,67,58
1613099284,71,71
1613101241,82,72
1613103127,49,62
1613105050,66,63
1613107003,81,62
1613108883,43,88
1613110840,61,62
1613112728,59,71
1613114667,81,50
1613116662,62,73
1613118495,55,56
1613120471,72,79
1613122326,47,59
1613124346,84,65
1613126163,66,86
1613128123,37,3817
1613130033,103,113
1613131953,1636,0
1613133901,87,72
1613135786,100,71
1613137719,92,69
1613139639,59,70
1613141528,97,71
1613143449,91,71
1613145401,99,73
1613147283,91,44
1613149215,108,71
1613151127,68,63
1613153310,73,80
1613155239,107,76
1613157207,80,59
1613159090,134,58
1613161015,122,70
1613162909,95,60
1613164834,125,76
1613166766,96,59
1613168657,89,51
1613170897,152,106
1613172749,87,100
1613174734,1379,0
1613176570,104,48
1613178745,68,57
1613180659,80,58
1613182612,74,48
1613184507,69,52
1613186444,79,68
1613188383,122,50
1613190267,82,35
1613192195,89,53
1613194167,61,52
1613196104,68,75
1613197957,63,50
1613199891,76,46
1613201780,94,58
1613203966,63,65
1613205866,65,53
1613207813,65,76
1613209698,80,47
1613211656,68,59
1613213558,70,69
1613215444,49,3689
1613217397,114,124
1613219288,1651,0
1613221305,121,80
1613223159,65,81
1613225065,76,65
1613226968,69,69
1613228920,65,76
1613230808,94,90
1613232725,82,62
1613234680,76,76
1613236566,81,85
1613238484,86,48
1613240405,69,51
1613242328,83,65
1613244279,83,83
1613246169,98,72
1613248085,83,57
1613250051,115,75
1613251925,85,51
1613254100,111,86
1613256006,65,74
1613258205,115,57
1613260088,99,88
1613262045,1380,0
1613263929,147,51
1613265847,70,65
1613267805,57,58
1613269687,221,53
1613271615,62,57
1613273563,74,63
1613275457,124,53
1613277368,76,66
1613279325,56,59
1613281207,70,54
1613283126,71,44
1613285083,85,49
1613286967,98,73
1613288886,60,65
1613290840,65,62
1613292726,63,57
1613294646,34,49
1613296600,77,70
1613298487,44,63
1613300417,63,4184
1613302365,78,80
1613304257,2030,0
1613306164,91,148
1613308124,58,71
1613310006,54,69
1613311961,33,86
1613313846,28,71
1613315765,157,75
1613317720,171,115
1613319604,151,89
1613321525,92,109
1613323486,37,83
1613325365,47,80
1613327284,188,63
1613329254,149,106
1613331126,108,80
1613332928,114,86
1613335000,74,102
1613336894,99,58
1613338802,217,82
1613340758,138,85
1613342643,77,91
1613344561,79,78
1613346518,63,90
1613348407,1767,0
1613350325,136,102
1613352284,102,50
1613354164,86,66
1613356084,59,56
1613358049,58,54
1613359924,104,78
1613361855,78,88
1613363799,96,99
1613365687,75,68
1613367610,71,66
1613369558,94,60
1613371443,105,61
1613373361,68,72
1613375320,58,86
1613377206,64,69
1613379123,47,76
1613381078,71,57
1613383059,84,89
1613385143,70,86
1613387109,63,3920
1613389030,60,109
1613390882,1827,0
1613392709,99,101
1613394755,100,136
1613396647,95,60
1613398564,80,67
1613400516,78,53
1613402403,89,50
1613404322,137,148
1613406276,89,80
1613408165,147,64
1613410119,100,77
1613412011,102,75
1613413954,106,85
1613415849,106,80
1613417761,145,91
1613419716,98,63
1613421621,109,76
1613423525,107,52
1613425445,121,68
1613427362,118,62
1613429319,120,72
1613431202,102,48
1613433351,156,151
1613436015,1576,0
1613438664,89,106
1613440845,121,55
1613442883,82,39
1613444725,72,52
1613446601,73,81
1613448491,61,105
1613450526,77,55
1613452361,65,48
1613454284,107,67
1613456170,73,63
1613458117,67,77
1613460006,49,78
1613461990,78,65
1613463883,52,44
1613465765,93,74
1613467692,69,37
1613469722,77,73
1613471525,52,50
1613473490,58,4229
1613475367,112,64
1613477287,1914,0
1613479237,118,185
1613481123,71,99
1613483047,69,81
1613484997,113,75
1613486884,101,42
1613488805,76,81
1613490762,144,91
1613492647,84,91
1613494563,103,84
1613496525,86,68
1613498415,97,96
1613500324,108,123
1613502294,94,58
1613504163,101,74
1613506245,113,71
1613508284,112,56
1613510164,108,76
1613512087,92,78
1613514002,91,86
1613515923,116,70
1613517878,113,46
1613519762,100,77
1613521724,1535,0
1613523619,108,86
1613525525,58,67
1613527450,67,52
1613529402,77,46
1613531287,69,38
1613533208,90,93
1613535164,77,67
1613537044,57,59
1613539002,72,71
