DateTime,Entries,UniqueIPs
1613024403,8183,8183
1613026324,8181,8181
1613028280,8173,8173
1613030164,8179,8179
1613032084,8149,8149
1613034046,8148,8148
1613035926,8139,8139
1613037854,8126,8126
1613039798,8127,8127
1613041688,4283,4283
1613043603,4280,4280
1613045557,6099,6099
1613047445,6089,6089
1613049364,6133,6133
1613051320,6153,6153
1613053204,6222,6222
1613055127,6237,6237
1613057080,6237,6237
1613058964,6230,6230
1613060920,6264,6264
1613062816,6272,6272
1613064724,6298,6298
1613066690,6306,6306
1613068570,6311,6311
1613070486,6332,6332
1613072440,6356,6356
1613074330,6348,6348
1613076248,6340,6340
1613078200,6357,6357
1613080083,6389,6389
1613082002,6417,6417
1613083958,6413,6413
1613085848,6439,6439
1613087766,6396,6396
1613089723,7955,7955
1613091632,7964,7964
1613093524,7985,7985
1613095491,8001,8001
1613097366,8010,8010
1613099284,8010,8010
1613101241,8020,8020
1613103127,8007,8007
1613105050,8010,8010
1613107003,8029,8029
1613108883,7984,7984
1613110840,7983,7983
1613112728,7971,7971
1613114667,8002,8002
1613116662,7991,7991
1613118495,7990,7990
1613120471,7983,7983
1613122326,7971,7971
1613124346,7990,7990
1613126163,7970,7970
1613128123,4190,4190
1613130033,4180,4180
1613131953,5816,5816
1613133901,5831,5831
1613135786,5860,5860
1613137719,5883,5883
1613139639,5872,5872
1613141528,5898,5898
1613143449,5918,5918
1613145401,5944,5944
1613147283,5991,5991
1613149215,6028,6028
1613151127,6033,6033
1613153310,6026,6026
1613155239,6057,6057
1613157207,6078,6078
1613159090,6154,6154
1613161015,6206,6206
1613162909,6241,6241
1613164834,6290,6290
1613166766,6327,6327
1613168657,6365,6365
1613170897,6411,6411
1613172749,6398,6398
1613174734,7777,7777
1613176570,7833,7833
1613178745,7844,7844
1613180659,7866,7866
1613182612,7892,7892
1613184507,7909,7909
1613186444,7920,7920
1613188383,7992,7992
1613190267,8039,8039
1613192195,8075,8075
1613194167,8084,8084
1613196104,8077,8077
1613197957,8090,8090
1613199891,8120,8120
1613201780,8156,8156
1613203966,8154,8154
1613205866,8166,8166
1613207813,8155,8155
1613209698,8188,8188
1613211656,8197,8197
1613213558,8198,8198
1613215444,4558,4558
1613217397,4548,4548
1613219288,6199,6199
1613221305,6240,6240
1613223159,6224,6224
1613225065,6235,6235
1613226968,6235,6235
1613228920,6224,6224
1613230808,6228,6228
1613232725,6248,6248
1613234680,6248,6248
1613236566,6244,6244
1613238484,6282,6282
1613240405,6300,6300
1613242328,6318,6318
1613244279,6318,6318
1613246169,6344,6344
1613248085,6370,6370
1613250051,6410,6410
1613251925,6444,6444
1613254100,6469,6469
1613256006,6460,6460
1613258205,6518,6518
1613260088,6529,6529
1613262045,7909,7909
1613263929,8005,8005
1613265847,8010,8010
1613267805,8009,8009
1613269687,8177,8177
1613271615,8182,8182
1613273563,8193,8193
1613275457,8264,8264
1613277368,8274,8274
1613279325,8271,8271
1613281207,8287,8287
1613283126,8314,8314
1613285083,8350,8350
1613286967,8375,8375
1613288886,8370,8370
1613290840,8373,8373
1613292726,8379,8379
1613294646,8364,8364
1613296600,8371,8371
1613298487,8352,8352
1613300417,4231,4231
1613302365,4229,4229
1613304257,6259,6259
1613306164,6202,6202
1613308124,6189,6189
1613310006,6174,6174
1613311961,6121,6121
1613313846,6078,6078
