DateTime,Entries,UniqueIPs
1612645203,7933,7933
1612647903,8198,8198
1612650603,7947,7947
1612653303,7951,7951
1612656003,7867,7867
1612658703,7590,7590
1612661403,7289,7289
1612664103,7194,7194
1612666803,7075,7075
1612669503,7447,7447
1612672203,7291,7291
1612674903,7043,7043
1612677603,7021,7021
1612680303,6955,6955
1612683004,6852,6852
1612685702,6923,6923
1612688403,6867,6867
1612691103,7548,7548
1612693803,7797,7797
1612696503,8311,8311
1612699204,8774,8774
1612701903,9530,9530
1612704602,10230,10230
1612707303,10780,10780
1612710003,11094,11094
1612712703,11060,11060
1612715403,11296,11296
1612718103,11623,11623
1612720803,11720,11720
1612723503,11967,11967
1612726203,12221,12221
1612728903,12377,12377
1612731603,12503,12503
1612734303,12074,12074
1612737002,11882,11882
1612739703,11926,11926
1612742403,11568,11568
1612745104,11027,11027
1612747803,10454,10454
1612750504,9992,9992
1612753204,9885,9885
1612755903,9936,9936
1612758603,9799,9799
1612761304,9810,9810
1612764004,10020,10020
1612766704,10036,10036
1612769404,10169,10169
1612772104,10455,10455
1612774804,10334,10334
1612777503,10275,10275
1612780204,10104,10104
1612782904,10002,10002
1612785604,10388,10388
1612788304,10934,10934
1612791003,11700,11700
1612793703,12066,12066
1612796404,11888,11888
1612799104,11826,11826
1612801804,12006,12006
1612804503,12285,12285
1612807203,12342,12342
1612809903,12572,12572
1612812604,12668,12668
1612815303,12518,12518
1612818002,12558,12558
1612820702,12226,12226
1612823403,12303,12303
1612826103,12311,12311
1612828803,12500,12500
1612831502,12377,12377
1612834203,12073,12073
1612836902,11630,11630
1612839603,11714,11714
1612842303,11661,11661
1612845002,11756,11756
1612847702,11513,11513
1612850402,11601,11601
1612853103,11474,11474
1612855802,11183,11183
1612858503,11122,11122
1612861202,11035,11035
1612863902,11146,11146
1612866603,11173,11173
1612869302,11540,11540
1612872002,11485,11485
1612874703,12013,12013
1612877402,12206,12206
1612880102,12408,12408
1612882803,12723,12723
1612885502,12800,12800
1612888203,13049,13049
1612890903,13205,13205
1612893603,13417,13417
1612896304,13262,13262
1612899003,13210,13210
1612901703,13009,13009
1612904403,12961,12961
1612907103,12898,12898
1612909803,12846,12846
1612912504,12440,12440
1612915202,12271,12271
1612917903,11944,11944
1612920603,11677,11677
1612923303,11468,11468
1612926003,11294,11294
1612928702,11229,11229
1612931403,11000,11000
1612934103,10685,10685
1612936803,10340,10340
1612939503,10233,10233
1612942203,10165,10165
1612944903,10476,10476
1612947603,10779,10779
1612950303,10710,10710
1612953003,11031,11031
1612955703,11583,11583
1612958403,11726,11726
1612961104,11983,11983
1612963803,12377,12377
1612966503,12378,12378
1612969203,12402,12402
1612971903,12523,12523
1612974604,12626,12626
1612977304,12551,12551
1612980003,12765,12765
1612982703,12894,12894
1612985404,13146,13146
1612988103,13091,13091
1612990803,12789,12789
1612993503,12857,12857
1612996203,12758,12758
1612998903,12583,12583
1613001603,12689,12689
1613004303,12683,12683
1613007002,12273,12273
1613009704,12390,12390
1613012403,12293,12293
1613015103,12674,12674
1613017803,12511,12511
1613020504,12471,12471
1613023203,12240,12240
1613025903,12422,12422
1613028604,12224,12224
1613031303,12222,12222
1613034003,12251,12251
1613036703,12118,12118
1613039403,12312,12312
1613042104,12448,12448
1613044803,12407,12407
1613047503,12173,12173
1613050203,12353,12353
1613052903,12535,12535
1613055603,12744,12744
1613058303,12413,12413
1613061003,12611,12611
1613063703,12683,12683
1613066403,13064,13064
1613069103,13281,13281
1613071803,12972,12972
1613074503,12838,12838
1613077203,12747,12747
1613079903,12766,12766
1613082602,12992,12992
1613085303,12697,12697
1613088002,12676,12676
1613090702,13029,13029
1613093403,12982,12982
1613096102,12922,12922
1613098803,12678,12678
1613101503,12555,12555
1613104203,12360,12360
1613106903,12292,12292
1613109604,11999,11999
1613112303,11303,11303
1613115002,10994,10994
1613117703,11449,11449
1613120403,11356,11356
1613123103,11028,11028
1613125803,10513,10513
1613128503,10411,10411
1613131203,10393,10393
1613133903,10099,10099
1613136604,10239,10239
1613139304,10079,10079
1613142004,9846,9846
1613144703,10022,10022
1613147403,10020,10020
1613150103,9567,9567
1613152802,9650,9650
1613155503,9594,9594
1613158203,9740,9740
1613160903,9338,9338
1613163602,9247,9247
1613166303,9151,9151
1613169003,9477,9477
1613171703,9491,9491
1613174402,9154,9154
1613177102,8727,8727
1613179802,8164,8164
1613182502,7875,7875
1613185202,7920,7920
1613187902,7729,7729
1613190601,7477,7477
1613193302,7435,7435
1613196001,7512,7512
1613198702,8288,8288
1613201402,8239,8239
1613204102,8387,8387
1613206802,8242,8242
1613209502,8244,8244
1613212202,8125,8125
1613214902,8161,8161
1613217602,8097,8097
1613220301,7917,7917
1613223001,7774,7774
1613225702,7871,7871
1613228402,8134,8134
1613231102,8084,8084
1613233802,8163,8163
1613236502,8561,8561
1613239201,8684,8684
1613241902,8021,8021
1613244602,7917,7917
1613247303,8108,8108
1613250002,8256,8256
1613252702,8493,8493
1613255402,8531,8531
1613258102,8429,8429
1613260802,8291,8291
1613263502,8407,8407
1613266202,8466,8466
1613268902,8745,8745
1613271602,8509,8509
1613274301,8395,8395
1613277002,8802,8802
1613279702,8844,8844
1613282402,8857,8857
1613285102,8770,8770
1613287801,8864,8864
1613290502,8541,8541
1613293201,8502,8502
1613295902,8492,8492
1613298602,8344,8344
1613301302,8307,8307
1613304002,8679,8679
1613306702,8695,8695
1613309402,9160,9160
1613312102,9408,9408
1613314802,9441,9441
1613317502,9708,9708
1613320202,9503,9503
1613322902,9470,9470
1613325602,9403,9403
1613328302,9431,9431
1613331002,9449,9449
1613333702,9421,9421
1613336402,9355,9355
1613339102,8932,8932
1613341801,8871,8871
1613344502,9768,9768
1613347202,10359,10359
1613349902,10571,10571
1613352602,10860,10860
1613355302,11135,11135
1613358002,11625,11625
1613360702,12127,12127
1613363402,12703,12703
1613366102,13105,13105
1613368803,13540,13540
1613371502,14218,14218
1613374203,14673,14673
1613376903,15570,15570
1613379603,16751,16751
1613382303,17766,17766
1613385004,18520,18520
1613387704,18474,18474
1613390403,18517,18517
1613393103,18738,18738
1613395804,19426,19426
1613398504,19941,19941
1613401203,20215,20215
1613403904,18776,18776
1613406604,18307,18307
1613409304,18311,18311
