DateTime,AddedIPs,RemovedIPs
1613511724,9,18
1613512924,7,9
1613514124,12,11
1613515324,8,9
1613516524,7,4
1613517724,19,8
1613518324,9,2
1613520125,16,7
1613520724,7,18
1613521324,4,27
1613522524,7,0
1613523724,11,4
1613524324,2,0
1613524923,1,3
1613526124,12,13
1613527324,0,16
1613527924,0,10
1613529724,4,11
1613530924,8,0
1613531524,14,8
1613532724,5,8
1613533324,9,1
1613533924,1,0
1613536324,12,18
1613536924,8,5
1613537524,1,8
1613538724,5,0
1613539324,8,0
1613540524,15,13
1613541725,8,0
1613542324,3,7
1613543525,10,0
1613544724,15,6
1613545325,5,0
1613545924,8,1
1613547124,7,9
1613547724,10,10
1613548924,9,0
1613549523,3,7
1613550124,9,0
1613550724,4,18
1613551923,9,8
1613552524,1,0
1613554324,1,19
1613554924,0,15
1613555524,5,0
1613556124,1,0
1613556723,0,11
1613557324,3,0
1613557924,9,0
1613558524,1,9
1613559124,13,6
1613559724,6,0
1613560324,2,0
1613561524,16,5
1613562724,4,5
1613563324,3,0
1613563924,3,6
1613565124,2,9
1613565724,4,0
1613569015,0,7
1613569325,0,1
1613569925,2,3
1613571125,3,2
1613573524,2,4
1613574724,0,3
1613577124,7,16
1613578324,10,2
1613580123,4,12
1613580724,5,4
1613586124,10,10
1613587323,7,6
1613588524,8,13
1613589724,6,45
1613590924,2,33
1613592124,2,1
1613593324,5,8
1613594524,4,6
1613595724,10,17
1613596324,6,0
1613596924,0,7
1613598123,10,0
1613599324,12,15
1613600524,13,0
1613601724,7,5
1613602324,2,6
1613603524,4,5
1613604123,3,7
1613604724,1,0
1613605924,9,12
1613606524,3,4
1613607724,4,5
1613608324,3,0
1613608923,1,14
1613610123,8,1
1613610724,6,11
1613612524,9,8
1613613724,9,0
1613614924,6,2
1613616123,15,9
1613616724,1,8
1613617924,4,0
1613619724,9,18
1613620924,2,21
1613621524,3,0
1613622124,2,0
1613623325,6,4
1613623924,0,4
1613624524,53,0
1613625124,6,31
1613626324,6,0
1613626924,1,0
1613627523,4,18
1613629324,7,0
1613629924,5,20
1613630524,7,0
1613631124,1,0
1613632324,2,32
1613632924,8,0
1613633524,1,6
1613634724,3,15
1613635324,3,21
1613636524,5,1
1613637125,3,0
1613637724,1,16
1613638323,2,16
1613639524,17,0
1613640124,6,0
1613641324,9,6
1613641924,3,2
1613643124,8,3
1613643724,6,6
1613644923,9,4
1613645524,3,7
1613646123,3,5
1613647323,7,7
1613647924,1,29
1613649123,1,0
1613649723,0,8
1613650924,1,8
1613652124,2,0
1613652723,4,0
1613654523,3,0
1613656324,0,1
1613656924,0,1
1613658124,2,7
1613659324,5,0
1613660524,1,0
1613661124,2,7
1613661724,57,0
1613663523,12,8
1613664723,4,6
1613665324,2,5
1613665924,1,0
1613667723,3,6
1613669525,12,4
1613670724,6,0
1613671324,7,0
1613671924,12,0
1613673124,10,10
1613673724,5,5
1613674323,10,0
1613675523,8,5
1613676724,10,4
1613677924,11,1
1613679124,17,0
1613679723,6,3
1613680325,4,0
1613681524,7,7
1613682724,4,4
1613683324,4,10
1613683925,2,0
1613685124,5,5
1613686324,4,11
1613687524,1,15
1613688123,7,1
1613688723,4,10
1613689923,13,0
1613690524,3,4
1613691724,11,7
1613692924,15,9
1613693524,4,8
1613694124,9,1
1613694724,21,0
1613695324,8,6
1613696524,13,6
1613697724,10,5
1613698924,12,31
1613700124,10,6
1613700724,3,0
1613701324,2,4
1613701924,4,0
1613702523,5,0
1613703124,5,6
1613704324,5,10
1613704924,3,0
1613705524,0,8
1613706724,8,6
1613707924,11,5
1613709125,10,5
1613709724,3,2
1613710924,12,24
1613712124,16,0
1613713323,5,44
1613713924,6,0
1613715124,9,4
1613715724,1,0
1613716325,4,2
1613716924,1,24
1613718123,5,0
1613719324,7,8
1613720524,4,3
1613721724,0,5
1613722924,4,14
1613724124,2,2
1613724724,8,7
1613725325,3,0
1613726524,11,24
1613727724,10,0
1613728924,0,6
1613730724,4,21
1613731924,2,6
1613733124,3,11
1613734324,2,3
1613736124,0,3
1613737924,0,5
1613739124,1,1
1613739724,0,6
1613740324,3,0
1613740924,0,4
1613741524,1,0
1613742724,1,1
1613743324,0,2
1613743924,4,2
1613745124,1,0
1613745724,1,2
1613747524,1,0
1613748124,5,65
1613749923,3,0
1613751124,24,8
1613751724,2,5
1613752324,6,0
1613752924,7,4
1613754724,4,7
1613755924,4,6
1613756523,1,0
1613757724,0,4
1613758324,4,0
1613758924,4,12
1613760124,1,5
1613760723,2,0
1613761323,0,2
1613761924,2,5
1613763124,3,15
1613764323,2,0
1613765524,2,14
1613766124,66,10
1613766724,32,6
1613767324,39,11
1613767924,3,0
1613768524,2,0
1613769724,8,13
1613770924,10,10
1613772124,5,7
1613773324,1,4
1613773925,2,6
1613774524,1,0
1613775724,0,12
1613776924,11,20
1613777524,8,0
1613778124,5,0
1613779324,2,16
1613779924,3,0
1613781125,10,19
1613781724,1,0
1613782924,12,33
1613784124,0,12
1613784724,7,0
1613785924,7,16
1613786524,4,0
1613787124,4,22
1613789524,13,11
1613790125,3,10
1613790724,0,3
1613791324,6,3
1613792524,4,0
1613793124,0,13
1613793724,1,9
1613794924,14,14
1613795525,6,0
1613796124,1,24
1613797325,10,0
1613797924,70,24
1613799124,6,17
1613799724,4,0
1613800924,1,23
1613801524,15,10
1613802124,5,8
1613803324,3,3
1613803924,2,0
1613804524,0,34
1613805124,2,0
1613805724,1,14
1613806324,1,0
1613808124,2,19
1613808724,3,0
1613809924,4,9
1613810524,1,0
1613811124,0,12
1613811724,6,17
1613812924,4,21
1613813525,1,9
1613815324,11,15
1613815924,10,0
1613817125,7,1
1613817724,14,0
1613818324,9,5
1613818924,6,3
1613819524,6,0
1613820124,0,3
1613820725,1,0
1613821324,4,3
1613823124,5,1
1613823724,2,5
1613825525,6,0
1613826124,3,1
1613827325,1,5
1613827924,10,0
1613829124,9,0
1613830325,10,1
1613830924,3,0
1613831525,2,5
1613832725,3,3
1613833324,1,0
1613833924,2,7
1613835124,5,3
1613835724,3,0
1613836924,7,6
1613837524,1,15
1613838124,13,0
1613839324,5,8
1613839924,3,4
1613841124,4,0
1613841724,6,8
1613842924,6,4
1613844124,4,1
1613844724,3,2
1613846523,15,4
1613847724,13,6
1613848324,6,0
1613848924,8,6
1613850124,6,8
1613851324,15,0
1613851923,6,0
