DateTime,AddedIPs,RemovedIPs
1613531524,66,66
1613532724,57,57
1613533324,56,56
1613533924,44,44
1613536324,79,79
1613536924,44,44
1613537524,18,18
1613538724,35,35
1613539324,62,62
1613540524,88,88
1613541725,66,66
1613542324,44,44
1613543525,74,74
1613544724,95,95
1613545325,58,58
1613545924,48,48
1613547124,74,74
1613547724,55,55
1613548924,81,81
1613549523,41,41
1613550124,73,73
1613550724,40,40
1613551923,74,74
1613552524,35,35
1613554324,42,42
1613554924,21,21
1613555524,43,43
1613556124,38,38
1613556723,17,17
1613557324,34,34
1613557924,38,38
1613558524,37,37
1613559124,58,58
1613559724,44,44
1613560324,32,32
1613561524,90,90
1613562724,54,54
1613563324,47,47
1613563924,36,36
1613565124,30,30
1613565724,24,24
1613569015,12,12
1613569325,6,6
1613569925,10,10
1613571125,10,10
1613573524,37,37
1613575924,26,26
1613577124,41,42
1613578324,42,42
1613580123,51,50
1613580724,50,50
1613586124,54,54
1613587323,55,55
1613588524,43,43
1613589724,58,58
1613590924,30,30
1613592124,38,38
1613592724,13,13
1613593324,46,46
1613594524,33,33
1613595724,70,70
1613596324,46,46
1613596924,16,16
1613598123,61,61
1613599324,73,73
1613600524,76,76
1613601724,94,94
1613602324,21,21
1613603524,81,81
1613604123,44,44
1613604724,14,14
1613605924,64,64
1613606524,51,51
1613607724,62,62
1613608324,33,33
1613608923,21,21
1613610123,75,75
1613610724,38,38
1613612524,82,82
1613613724,81,81
1613614924,54,54
1613616123,64,64
1613616724,38,38
1613617924,64,64
1613619724,74,74
1613620924,36,36
1613621524,35,35
1613622124,31,31
1613623325,44,44
1613623924,15,15
1613624524,85,85
1613625124,33,33
1613626324,73,73
1613626924,24,24
1613627523,59,59
1613629324,80,80
1613629924,37,37
1613630524,45,45
1613631124,12,12
1613632324,74,74
1613632924,34,34
1613633524,25,25
1613634724,33,33
1613635324,23,23
1613636524,42,42
1613637125,53,53
1613637724,17,17
1613638323,52,52
1613639524,80,80
1613640124,54,54
1613641324,67,67
1613641924,24,24
1613642524,7,7
1613643124,49,49
1613643724,46,46
1613644923,79,79
1613645524,21,21
1613646123,35,35
1613647323,46,46
1613647924,16,16
1613649123,12,12
1613649723,6,6
1613650924,11,11
1613652124,26,26
1613652723,19,19
1613653323,11,11
1613654523,22,22
1613655724,19,19
1613656324,4,4
1613656924,14,14
1613658124,30,30
1613659324,30,30
1613660524,27,27
1613661124,8,8
1613661724,86,86
1613662324,16,16
1613663523,86,86
1613664723,60,60
1613665324,15,15
1613665924,16,16
1613667723,28,28
1613669525,62,62
1613670724,39,39
1613671324,43,43
1613671924,23,23
1613673124,59,59
1613673724,24,24
1613674323,24,24
1613675523,43,43
1613676724,49,49
1613677924,69,69
1613679124,88,88
1613679723,64,64
1613680325,53,53
1613681524,53,53
1613682724,43,43
1613683324,28,28
1613683925,33,33
1613685124,62,62
1613686324,40,40
1613687524,30,30
1613688123,35,35
1613688723,12,12
1613689923,81,81
1613690524,40,40
1613691724,82,82
1613692924,78,78
1613693524,63,63
1613694124,49,49
1613694724,41,41
1613695324,40,40
1613696524,74,74
1613697724,89,89
1613698924,84,84
1613700124,90,90
1613700724,44,44
1613701324,41,41
1613701924,60,60
1613702523,39,39
1613703124,32,32
1613704324,64,64
1613704924,31,31
1613705524,34,34
1613706724,68,68
1613707924,65,65
1613709125,72,72
1613709724,32,32
1613710924,75,75
1613712124,85,85
1613713323,52,52
1613713924,54,54
1613715124,69,69
1613715724,29,29
1613716325,36,36
1613716924,9,9
1613718123,54,54
1613719324,51,51
1613720524,49,49
1613721724,20,20
1613722924,55,55
1613724124,34,34
1613724724,36,36
1613725325,41,41
1613726524,67,67
1613727724,63,63
1613728924,39,39
1613730724,52,52
1613731324,7,7
1613731924,17,17
1613733124,21,21
1613734324,20,20
1613734923,4,4
1613736124,12,12
1613736723,6,6
1613737924,11,11
1613739124,20,20
1613739724,13,13
1613740324,19,19
1613740924,15,15
1613741524,6,6
1613742724,11,11
1613743324,15,15
1613743924,13,13
1613745124,19,19
1613745724,11,11
1613747524,26,26
1613748124,27,27
1613749923,29,29
1613751124,55,55
1613751724,20,20
1613752324,22,22
1613752924,40,40
1613753524,12,12
1613754724,17,17
1613755924,32,32
1613756523,13,13
1613757124,8,8
1613757724,7,7
1613758324,22,22
1613758924,22,22
1613760124,40,40
1613760723,36,36
1613761323,13,13
1613761924,12,12
1613763124,51,51
1613764323,53,53
1613765524,16,16
1613766124,81,81
1613766724,69,69
1613767324,48,48
1613767924,37,37
1613768524,27,27
1613769724,44,44
1613770924,49,49
1613772124,36,36
1613773324,15,15
1613773925,20,20
1613774524,27,27
1613775724,17,17
1613776924,36,36
1613777524,53,53
1613778124,39,39
1613779324,27,27
1613779924,11,11
1613781125,49,49
1613781724,17,17
1613782924,69,69
1613784124,31,31
1613784724,31,31
1613785924,62,62
1613786524,29,29
1613787124,26,26
1613787725,15,15
1613789524,70,70
1613790125,21,21
1613790724,10,10
1613791324,37,37
1613792524,36,36
1613793124,10,10
1613793724,16,16
1613794924,50,50
1613795525,13,13
1613796124,20,20
1613797325,37,37
1613797924,90,90
1613799124,73,73
1613799724,26,26
1613800924,29,29
1613801524,41,41
1613802124,36,36
1613803324,27,27
1613803924,21,21
1613804524,6,6
1613805124,21,21
1613805724,4,4
1613806324,6,6
1613808124,21,21
1613808724,18,18
1613809924,20,20
1613810524,8,8
1613811124,9,9
1613811724,17,17
1613812924,20,20
1613813525,13,13
1613815324,48,48
1613815924,40,40
1613817125,46,46
1613817724,55,55
1613818324,38,38
1613818924,45,45
1613819524,33,33
1613820124,8,8
1613820725,8,8
1613821324,21,21
1613821924,8,8
1613822524,8,8
1613823124,21,21
1613823724,12,12
1613825525,43,43
1613826124,16,16
1613827325,16,16
1613827924,27,27
1613829124,33,33
1613830325,31,31
1613830924,11,11
1613831525,13,13
1613832725,19,19
1613833324,9,9
1613833924,16,16
1613835124,41,41
1613835724,18,18
1613836924,40,40
1613837524,5,5
1613838124,41,41
1613839324,64,64
1613839924,29,29
1613841124,25,25
1613841724,16,16
1613842924,30,30
1613844124,29,29
1613844724,26,26
1613846523,53,53
1613847724,57,57
1613848324,41,41
1613848924,35,35
1613850124,56,56
1613851324,55,55
1613851923,19,19
1613852524,38,38
1613853125,39,39
1613853724,27,27
1613855524,48,48
1613856724,53,53
1613857324,15,15
1613857924,18,18
1613859124,35,35
1613860325,45,45
1613861523,65,65
1613862724,50,50
1613863324,32,32
1613863924,45,45
1613865724,77,77
1613866324,16,16
1613867524,55,55
1613868124,37,37
1613869323,59,59
1613870523,56,56
1613871724,69,69
1613872324,37,37
1613872924,19,19
1613873524,25,25
1613874124,29,29
1613874724,52,52
1613875324,22,22
1613876524,63,63
1613877723,13,13
1613878924,50,50
1613880124,35,35
1613880724,30,30
1613881925,75,75
1613883124,72,72
1613883724,38,38
1613884924,66,66
1613885524,23,23
1613886124,27,27
1613887324,46,46
1613887924,29,30
1613888524,24,24
1613889124,21,21
1613889724,37,36
1613890924,40,40
1613891523,6,6
1613892124,23,23
1613893324,54,54
1613894524,66,66
1613895124,13,13
1613895724,20,20
1613896924,54,54
1613898124,41,41
1613899324,92,92
1613900525,91,91
1613901125,15,15
1613901724,52,52
1613902325,39,39
1613904124,73,73
1613905324,35,35
1613905924,34,34
1613906523,33,33
1613907124,15,15
1613907724,20,20
1613908324,33,33
1613908924,12,12
1613910124,27,27
1613910724,21,21
1613911324,15,15
1613911924,8,8
1613912524,25,25
1613913124,5,5
1613914324,22,22
1613914924,23,23
1613916124,39,39
1613916724,19,19
1613917324,3,3
1613918524,43,43
1613920324,31,31
1613921524,17,17
1613922724,38,38
1613923324,28,28
1613923924,40,40
1613925124,68,68
1613925724,30,30
1613926324,26,26
1613927524,19,19
1613928724,25,25
1613929324,24,24
1613929924,10,10
1613930524,18,18
1613931124,13,13
1613931724,16,16
1613933523,50,50
1613934724,35,35
1613935324,24,24
1613936524,13,13
1613937123,14,14
1613938324,19,19
1613939524,17,17
1613940724,56,56
1613941923,59,59
1613942523,16,16
1613943124,23,23
1613944324,20,20
1613945524,43,43
1613946124,24,24
1613946724,19,19
1613947324,31,31
1613948524,69,69
1613949124,34,34
1613949724,21,21
1613950924,70,70
1613951524,42,42
1613952724,72,72
1613953324,11,11
1613953924,26,26
1613955123,33,33
1613956324,63,63
1613957524,75,75
1613958124,66,66
1613959324,79,79
1613960524,75,75
1613961724,39,39
1613962924,88,88
1613964124,60,60
1613965324,73,73
1613966524,65,65
1613967724,23,23
1613968924,66,66
1613970124,35,35
1613971324,25,25
1613971924,13,13
1613973124,63,63
1613973724,25,25
1613974324,41,41
1613975525,81,81
1613976724,66,66
1613977924,51,51
1613979124,56,56
1613980324,50,50
1613981524,54,54
1613982123,28,28
1613983324,52,52
1613984524,41,41
1613985124,12,12
1613986924,37,37
1613987524,15,15
1613988124,13,13
1613989324,56,56
1613990524,19,19
1613991723,35,35
1613992324,6,6
1613992924,9,9
